ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,feeUsdt,pnlNet,exitReason,holdSec,msg
2026-08-22T12:28:18Z,27,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:21Z,28,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:24Z,29,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:26Z,30,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:29Z,31,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.5,0,
2026-08-22T12:28:31Z,32,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:34Z,33,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.6,0,
2026-08-22T12:28:37Z,34,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.6,0,
2026-08-22T12:28:39Z,35,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.6,0,
2026-08-22T12:28:42Z,36,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.6,0,
2026-08-22T12:28:44Z,37,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.6,0,
2026-08-22T12:28:47Z,38,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.6,0,
2026-08-22T12:28:50Z,39,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:53Z,40,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:55Z,41,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
