run,ts,cycle,unit,side,entryPrice,exitPrice,qty,bps,pnl,exitReason,hold_sec,entry_heure,exit_heure
Run_V2,2026-08-14T17:30:08Z,440,BETA_X5,SELL,63170.10000000,63170.10000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,17:30:02,17:30:08
Run_V2,2026-08-14T17:31:14Z,447,BETA_X5,SELL,63170.10000000,63170.10000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,17:31:07,17:31:13
Run_V2,2026-08-14T17:32:11Z,453,BETA_X5,SELL,63170.10000000,63177.50000000,0.00470000,-1.17144029,-0.03478000,fluid_exit_inversion,5,17:32:05,17:32:11
Run_V2,2026-08-14T17:35:54Z,472,BETA_X5,SELL,63174.00000000,63173.90000000,0.00470000,0.01582930,0.00047000,shock_inversion_stop,5,17:35:48,17:35:53
Run_V2,2026-08-14T17:36:14Z,473,BETA_X5,SELL,63180.20000000,63170.10000000,0.00470000,1.59860209,0.04747000,shock_inversion_stop,6,17:36:07,17:36:13
Run_V2,2026-08-14T17:37:42Z,482,BETA_X5,SELL,63162.20000000,63137.40000000,0.00470000,3.92639902,0.11656000,shock_inversion_stop,12,17:37:29,17:37:42
Run_V2,2026-08-14T17:39:50Z,497,BETA_X5,SELL,63105.00000000,63105.00000000,0.00470000,-0.00000000,-0.00000000,fluid_exit_inversion,6,17:39:43,17:39:50
Run_V2,2026-08-14T17:41:38Z,509,BETA_X5,SELL,63112.10000000,63112.10000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,5,17:41:32,17:41:38
Run_V2,2026-08-14T17:43:57Z,525,BETA_X5,SELL,63103.90000000,63103.90000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,17:43:51,17:43:57
Run_V2,2026-08-14T17:45:13Z,533,BETA_X5,SELL,63084.20000000,63085.10000000,0.00940000,-0.14266647,-0.00846000,shock_inversion_stop,5,17:45:07,17:45:13
Run_V2,2026-08-14T17:45:31Z,534,BETA_X5,SELL,63112.10000000,63088.10000000,0.00940000,3.80275732,0.22560000,shock_inversion_stop,6,17:45:25,17:45:31
Run_V2,2026-08-14T17:46:22Z,539,BETA_X5,SELL,63084.20000000,63084.20000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,17:46:15,17:46:21
Run_V2,2026-08-14T17:47:54Z,549,BETA_X5,SELL,63084.20000000,63084.20000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,17:47:47,17:47:53
Run_V2,2026-08-14T17:48:28Z,552,BETA_X5,SELL,63084.20000000,63103.90000000,0.00470000,-3.12281047,-0.09259000,shock_inversion_stop,5,17:48:22,17:48:27
Run_V2,2026-08-14T17:49:12Z,556,BETA_X5,SELL,63091.80000000,63093.00000000,0.00470000,-0.19019904,-0.00564000,shock_inversion_stop,5,17:49:06,17:49:12
Run_V2,2026-08-14T17:49:42Z,558,BETA_X5,SELL,63103.90000000,63094.40000000,0.00470000,1.50545370,0.04465000,shock_inversion_stop,9,17:49:33,17:49:42
Run_V2,2026-08-14T17:52:08Z,575,BETA_X5,SELL,63075.10000000,63067.30000000,0.00470000,1.23662111,0.03666000,shock_inversion_stop,5,17:52:02,17:52:08
