open_time,open,high,low,close,volume,close_time
1784146740000,64960.30,64987.00,64960.20,64986.00,26.769,1784146799999
1784146800000,64986.00,64996.00,64976.20,64995.80,33.141,1784146859999
1784146860000,64995.80,64995.80,64995.70,64995.70,23.692,1784146919999
1784146920000,64995.70,64995.90,64986.00,64986.10,17.299,1784146979999
1784146980000,64986.10,64987.00,64961.10,64961.10,13.107,1784147039999
1784147040000,64961.20,64968.30,64954.50,64968.30,10.009,1784147099999
1784147100000,64968.30,64974.70,64968.30,64974.70,9.260,1784147159999
1784147160000,64974.60,64974.70,64973.50,64973.50,5.289,1784147219999
1784147220000,64973.50,64973.50,64955.60,64955.60,9.457,1784147279999
1784147280000,64955.70,64969.40,64955.60,64969.40,14.318,1784147339999
1784147340000,64969.50,64979.70,64969.50,64979.70,5.201,1784147399999
1784147400000,64979.60,64985.40,64979.60,64983.10,14.770,1784147459999
1784147460000,64983.10,65010.60,64983.10,65010.60,37.513,1784147519999
1784147520000,65010.60,65030.50,65009.40,65029.80,97.262,1784147579999
1784147580000,65029.80,65029.80,64982.60,64983.00,47.247,1784147639999
1784147640000,64983.00,64983.00,64982.90,64983.00,4.958,1784147699999
1784147700000,64982.90,64987.80,64970.40,64971.60,21.260,1784147759999
1784147760000,64971.70,64971.70,64963.00,64963.00,5.777,1784147819999
1784147820000,64963.00,64963.10,64956.90,64963.00,12.183,1784147879999
1784147880000,64963.10,64968.50,64958.00,64965.90,5.602,1784147939999
1784147940000,64965.90,64977.20,64965.90,64977.10,15.363,1784147999999
1784148000000,64977.20,64994.80,64977.10,64993.30,21.253,1784148059999
1784148060000,64993.40,64993.40,64993.30,64993.40,7.441,1784148119999
1784148120000,64993.30,65000.00,64993.30,65000.00,11.210,1784148179999
1784148180000,64999.90,65000.00,64970.00,64970.00,26.426,1784148239999
1784148240000,64970.00,64970.10,64965.00,64968.30,8.235,1784148299999
1784148300000,64968.30,64968.40,64948.00,64948.00,16.735,1784148359999
1784148360000,64948.00,64958.50,64946.50,64958.50,8.579,1784148419999
1784148420000,64958.50,64960.10,64958.40,64960.00,4.072,1784148479999
1784148480000,64960.00,64966.20,64946.80,64946.80,15.890,1784148539999
1784148540000,64946.90,64950.50,64940.60,64940.70,12.429,1784148599999
1784148600000,64940.70,64940.70,64940.60,64940.60,7.168,1784148659999
1784148660000,64940.70,64943.90,64940.60,64943.90,5.681,1784148719999
1784148720000,64943.90,64952.40,64935.50,64935.50,19.013,1784148779999
1784148780000,64935.60,64947.60,64935.50,64947.50,5.804,1784148839999
1784148840000,64947.60,64948.10,64947.50,64948.00,3.997,1784148899999
1784148900000,64948.10,64948.10,64934.60,64945.60,9.454,1784148959999
1784148960000,64945.70,64948.00,64945.70,64947.90,13.940,1784149019999
1784149020000,64947.90,64962.20,64947.90,64962.20,11.941,1784149079999
1784149080000,64962.20,64962.20,64948.40,64948.80,26.878,1784149139999
1784149140000,64948.70,64948.70,64935.00,64939.90,20.580,1784149199999
1784149200000,64939.90,64941.80,64939.80,64941.70,3.878,1784149259999
1784149260000,64941.80,64964.80,64941.80,64964.70,12.622,1784149319999
1784149320000,64964.70,64964.80,64957.10,64959.70,9.025,1784149379999
1784149380000,64959.70,64979.30,64959.70,64979.30,20.031,1784149439999
1784149440000,64979.20,64985.90,64871.40,64876.10,162.259,1784149499999
1784149500000,64876.20,64922.60,64876.20,64914.80,52.079,1784149559999
1784149560000,64914.80,64914.80,64910.70,64910.80,14.716,1784149619999
1784149620000,64910.80,64914.90,64910.70,64914.90,14.790,1784149679999
1784149680000,64914.90,64922.00,64910.70,64920.20,30.065,1784149739999
1784149740000,64920.20,64920.20,64916.10,64916.10,7.118,1784149799999
1784149800000,64916.20,64916.20,64800.00,64809.90,102.811,1784149859999
1784149860000,64810.00,64830.70,64809.90,64830.70,33.013,1784149919999
1784149920000,64830.70,64841.00,64830.60,64840.90,26.573,1784149979999
1784149980000,64840.90,64872.00,64840.90,64872.00,48.288,1784150039999
1784150040000,64871.90,64876.50,64864.00,64864.00,16.938,1784150099999
1784150100000,64864.10,64869.90,64857.20,64869.80,11.297,1784150159999
1784150160000,64869.90,64879.70,64869.80,64879.70,10.536,1784150219999
1784150220000,64879.60,64883.60,64879.60,64883.00,15.704,1784150279999
1784150280000,64882.90,64883.00,64860.10,64860.10,16.845,1784150339999
1784150340000,64860.10,64860.20,64857.00,64857.10,6.556,1784150399999
1784150400000,64857.00,64857.10,64857.00,64857.00,4.641,1784150459999
1784150460000,64857.10,64876.50,64857.00,64876.50,21.696,1784150519999
1784150520000,64876.40,64897.10,64876.40,64897.10,10.147,1784150579999
1784150580000,64897.10,64900.00,64893.00,64900.00,20.793,1784150639999
1784150640000,64899.90,64900.00,64896.20,64896.20,10.499,1784150699999
1784150700000,64896.20,64900.00,64889.50,64889.50,16.848,1784150759999
1784150760000,64889.60,64889.60,64873.10,64873.10,10.479,1784150819999
1784150820000,64873.20,64879.60,64873.10,64879.60,11.415,1784150879999
1784150880000,64879.50,64879.60,64837.00,64854.60,112.370,1784150939999
1784150940000,64854.60,64857.20,64805.50,64837.40,129.991,1784150999999
1784151000000,64837.40,64854.60,64837.20,64847.20,50.100,1784151059999
1784151060000,64847.30,64847.50,64844.40,64844.50,24.752,1784151119999
1784151120000,64844.50,64844.50,64830.90,64831.00,23.214,1784151179999
1784151180000,64830.90,64831.00,64826.60,64826.60,16.255,1784151239999
1784151240000,64826.70,64826.70,64787.20,64797.90,67.624,1784151299999
1784151300000,64797.80,64797.90,64756.70,64780.90,164.345,1784151359999
1784151360000,64780.90,64800.00,64780.90,64799.90,32.012,1784151419999
1784151420000,64799.90,64800.00,64795.00,64795.00,11.233,1784151479999
1784151480000,64795.00,64795.10,64763.60,64765.40,43.856,1784151539999
1784151540000,64765.30,64775.30,64763.20,64763.80,71.137,1784151599999
1784151600000,64763.90,64789.80,64763.90,64789.80,26.527,1784151659999
1784151660000,64789.80,64797.80,64782.40,64782.40,26.431,1784151719999
1784151720000,64782.50,64792.40,64782.00,64792.40,26.516,1784151779999
1784151780000,64792.30,64792.40,64762.30,64762.30,28.761,1784151839999
1784151840000,64762.20,64800.00,64757.30,64781.60,57.490,1784151899999
1784151900000,64781.60,64799.00,64777.70,64786.10,17.376,1784151959999
1784151960000,64786.10,64792.40,64781.70,64792.30,14.135,1784152019999
1784152020000,64792.40,64800.00,64792.40,64800.00,66.478,1784152079999
1784152080000,64800.00,64800.00,64799.90,64800.00,12.960,1784152139999
1784152140000,64800.00,64800.00,64775.00,64775.00,24.038,1784152199999
1784152200000,64775.00,64775.10,64765.00,64775.10,20.205,1784152259999
1784152260000,64775.00,64796.20,64775.00,64796.20,11.392,1784152319999
1784152320000,64796.20,64796.20,64778.50,64782.70,19.537,1784152379999
1784152380000,64782.70,64794.50,64782.70,64794.50,5.189,1784152439999
1784152440000,64794.50,64800.00,64794.40,64799.90,21.594,1784152499999
1784152500000,64799.90,64800.00,64790.00,64790.30,14.270,1784152559999
1784152560000,64790.30,64796.00,64790.30,64796.00,7.229,1784152619999
1784152620000,64796.00,64796.00,64784.90,64784.90,13.056,1784152679999
1784152680000,64784.90,64785.00,64757.20,64770.20,52.813,1784152739999
1784152740000,64770.10,64800.00,64770.10,64800.00,23.897,1784152799999
1784152800000,64800.00,64800.00,64795.20,64795.20,35.163,1784152859999
1784152860000,64795.20,64795.20,64759.20,64759.90,41.337,1784152919999
1784152920000,64759.90,64850.00,64759.90,64844.60,228.868,1784152979999
1784152980000,64844.60,64845.00,64810.20,64810.20,22.421,1784153039999
1784153040000,64810.10,64818.60,64799.30,64800.90,29.884,1784153099999
1784153100000,64801.00,64821.60,64800.90,64801.70,12.426,1784153159999
1784153160000,64801.80,64804.60,64798.40,64804.60,17.644,1784153219999
1784153220000,64804.50,64804.60,64761.80,64792.60,48.821,1784153279999
1784153280000,64792.60,64792.60,64787.10,64787.10,8.203,1784153339999
1784153340000,64787.20,64790.00,64787.10,64787.50,9.286,1784153399999
1784153400000,64787.60,64820.50,64787.50,64814.20,31.869,1784153459999
1784153460000,64814.10,64826.60,64810.70,64826.60,12.524,1784153519999
1784153520000,64826.60,64826.60,64800.00,64800.10,10.562,1784153579999
1784153580000,64800.00,64800.10,64790.90,64791.00,6.238,1784153639999
1784153640000,64791.00,64791.00,64776.80,64776.80,22.894,1784153699999
1784153700000,64776.90,64780.70,64769.60,64778.90,23.674,1784153759999
1784153760000,64779.00,64789.70,64772.40,64789.70,14.563,1784153819999
1784153820000,64789.60,64789.70,64765.00,64765.10,23.249,1784153879999
1784153880000,64765.10,64792.20,64739.00,64789.80,107.328,1784153939999
1784153940000,64789.80,64794.00,64783.10,64788.60,16.330,1784153999999
1784154000000,64788.50,64788.60,64765.00,64768.20,16.504,1784154059999
1784154060000,64768.30,64790.00,64761.30,64789.90,17.542,1784154119999
1784154120000,64789.90,64799.90,64782.50,64799.90,19.549,1784154179999
1784154180000,64800.00,64806.30,64793.40,64806.30,17.200,1784154239999
1784154240000,64806.30,64807.40,64802.00,64807.40,12.701,1784154299999
1784154300000,64807.30,64830.00,64807.30,64816.60,73.275,1784154359999
1784154360000,64816.50,64839.30,64816.50,64839.30,30.559,1784154419999
1784154420000,64839.30,64850.00,64839.20,64840.30,32.698,1784154479999
1784154480000,64840.40,64862.30,64840.30,64862.30,32.610,1784154539999
1784154540000,64862.20,64866.00,64862.20,64866.00,25.159,1784154599999
1784154600000,64866.00,64892.10,64866.00,64886.30,69.644,1784154659999
1784154660000,64886.40,64908.00,64886.40,64904.30,25.991,1784154719999
1784154720000,64904.30,64918.20,64901.70,64907.50,48.270,1784154779999
1784154780000,64907.50,64923.80,64868.30,64875.40,75.120,1784154839999
1784154840000,64875.50,64875.50,64873.60,64873.60,6.029,1784154899999
1784154900000,64873.60,64880.00,64873.60,64879.90,9.486,1784154959999
1784154960000,64879.90,64885.20,64843.50,64881.70,46.087,1784155019999
1784155020000,64881.80,64916.60,64881.80,64898.20,41.744,1784155079999
1784155080000,64898.40,64898.40,64871.60,64871.70,19.448,1784155139999
1784155140000,64871.70,64871.70,64870.70,64870.80,7.850,1784155199999
1784155200000,64870.70,64870.80,64856.30,64856.30,8.726,1784155259999
1784155260000,64856.30,64856.40,64856.30,64856.40,3.667,1784155319999
1784155320000,64856.30,64856.40,64822.20,64844.90,91.243,1784155379999
1784155380000,64845.00,64853.40,64840.90,64841.00,16.362,1784155439999
1784155440000,64840.90,64853.10,64840.90,64849.50,10.419,1784155499999
1784155500000,64849.50,64886.90,64849.40,64886.90,17.978,1784155559999
1784155560000,64886.80,64892.80,64874.70,64890.00,54.712,1784155619999
1784155620000,64889.90,64906.90,64886.30,64906.80,115.689,1784155679999
1784155680000,64906.80,64930.00,64906.80,64930.00,41.510,1784155739999
1784155740000,64930.00,64930.00,64878.50,64878.60,28.316,1784155799999
1784155800000,64878.50,64878.50,64871.20,64871.40,23.793,1784155859999
1784155860000,64871.30,64880.40,64871.30,64880.40,8.370,1784155919999
1784155920000,64880.30,64880.40,64876.70,64876.70,10.411,1784155979999
1784155980000,64876.70,64876.80,64871.30,64876.80,16.406,1784156039999
1784156040000,64876.70,64949.70,64850.00,64853.60,242.144,1784156099999
1784156100000,64853.50,64853.60,64837.40,64837.40,20.519,1784156159999
1784156160000,64837.50,64840.60,64833.40,64840.60,22.130,1784156219999
1784156220000,64840.50,64841.40,64835.50,64835.50,11.868,1784156279999
1784156280000,64835.50,64840.50,64835.50,64837.60,18.001,1784156339999
1784156340000,64837.60,64838.40,64826.90,64831.50,27.503,1784156399999
1784156400000,64831.60,64852.80,64831.50,64847.00,25.630,1784156459999
1784156460000,64846.90,64857.80,64839.30,64857.80,16.588,1784156519999
1784156520000,64857.70,64899.70,64857.70,64899.60,21.037,1784156579999
1784156580000,64899.70,64899.70,64877.20,64877.30,55.635,1784156639999
1784156640000,64877.20,64885.20,64871.00,64885.10,7.499,1784156699999
1784156700000,64885.20,64897.10,64851.20,64851.20,43.600,1784156759999
1784156760000,64850.90,64870.20,64846.90,64870.10,64.783,1784156819999
1784156820000,64870.20,64892.60,64865.80,64892.60,9.248,1784156879999
1784156880000,64892.50,64892.60,64869.80,64869.90,6.868,1784156939999
1784156940000,64869.90,64879.40,64865.80,64879.20,16.381,1784156999999
1784157000000,64879.30,64900.00,64879.20,64890.20,14.809,1784157059999
1784157060000,64890.00,64896.00,64889.40,64890.00,23.114,1784157119999
1784157120000,64889.90,64906.60,64889.90,64906.50,11.918,1784157179999
1784157180000,64906.60,64912.50,64902.70,64902.70,28.434,1784157239999
1784157240000,64902.70,64902.70,64880.50,64880.60,7.931,1784157299999
1784157300000,64880.50,64886.20,64873.80,64886.20,18.338,1784157359999
