ts,stream,side,kind,px,pnlGross,msg
2026-09-05T07:41:00,BETA,SHORT,ENTRY,79682.00,0.0000,H=1(SHADOW)
2026-09-05T07:42:00,BETA,SHORT,EXIT,79681.93,0.0074,trailing_stop net=-1.7526 hold=60s
2026-09-05T07:43:00,ALPHA,LONG,EXIT,79685.64,0.3856,trailing_stop net=-1.3744 hold=120s
2026-09-05T07:46:00,ALPHA,LONG,ENTRY,79718.70,0.0000,H=1(SHADOW)
2026-09-05T07:46:00,BETA,SHORT,ENTRY,79718.70,0.0000,H=1(SHADOW)
2026-09-05T07:48:00,ALPHA,LONG,EXIT,79721.08,0.2521,trailing_stop net=-1.5079 hold=120s
2026-09-05T07:48:00,BETA,SHORT,EXIT,79709.39,0.9862,trailing_stop net=-0.7738 hold=120s
2026-09-05T07:51:00,ALPHA,LONG,ENTRY,79685.60,0.0000,H=1(SHADOW)
2026-09-05T07:51:00,BETA,SHORT,ENTRY,79685.60,0.0000,H=1(SHADOW)
2026-09-05T07:53:00,ALPHA,LONG,EXIT,79696.52,1.1568,trailing_stop net=-0.6032 hold=120s
2026-09-05T07:56:00,ALPHA,LONG,ENTRY,79686.10,0.0000,H=1(SHADOW)
2026-09-05T07:57:00,BETA,SHORT,EXIT,79665.09,2.1726,trailing_stop net=+0.4126 hold=360s
2026-09-05T08:01:00,BETA,SHORT,ENTRY,79653.20,0.0000,H=1(SHADOW)
2026-09-05T08:04:00,BETA,SHORT,EXIT,79616.38,3.9003,trailing_stop net=+2.1403 hold=180s
2026-09-05T08:06:00,BETA,SHORT,ENTRY,79603.90,0.0000,H=1(SHADOW)
2026-09-05T08:25:00,BETA,SHORT,EXIT,79578.77,2.6620,trailing_stop net=+0.9020 hold=1140s
2026-09-05T08:26:00,BETA,SHORT,ENTRY,79568.00,0.0000,H=1(SHADOW)
2026-09-05T08:27:00,BETA,SHORT,EXIT,79567.93,0.0074,trailing_stop net=-1.7526 hold=60s
2026-09-05T08:31:00,BETA,SHORT,ENTRY,79585.00,0.0000,H=1(SHADOW)
2026-09-05T08:32:00,BETA,SHORT,EXIT,79555.11,3.1662,trailing_stop net=+1.4062 hold=60s
2026-09-05T08:36:00,BETA,SHORT,ENTRY,79538.50,0.0000,H=1(SHADOW)
2026-09-05T09:03:00,ALPHA,LONG,EXIT,79705.98,2.1059,trailing_stop net=+0.3459 hold=4020s
2026-09-05T09:06:00,ALPHA,LONG,ENTRY,79662.70,0.0000,H=1(SHADOW)
2026-09-05T09:07:00,ALPHA,LONG,EXIT,79673.27,1.1197,trailing_stop net=-0.6403 hold=60s
2026-09-05T09:11:00,ALPHA,LONG,ENTRY,79677.90,0.0000,H=1(SHADOW)
2026-09-05T09:12:00,ALPHA,LONG,EXIT,79687.63,1.0307,trailing_stop net=-0.7293 hold=60s
2026-09-05T09:16:00,ALPHA,LONG,ENTRY,79660.00,0.0000,H=1(SHADOW)
2026-09-05T09:17:00,ALPHA,LONG,EXIT,79666.93,0.7341,trailing_stop net=-1.0259 hold=60s
2026-09-05T09:21:00,ALPHA,LONG,ENTRY,79666.20,0.0000,H=1(SHADOW)
2026-09-05T09:22:00,ALPHA,LONG,EXIT,79681.67,1.6387,trailing_stop net=-0.1213 hold=60s
2026-09-05T09:26:00,ALPHA,LONG,ENTRY,79662.30,0.0000,H=1(SHADOW)
2026-09-05T09:33:00,ALPHA,LONG,EXIT,79662.37,0.0074,trailing_stop net=-1.7526 hold=420s
2026-09-05T09:36:00,ALPHA,LONG,ENTRY,79666.00,0.0000,H=1(SHADOW)
2026-09-05T10:36:00,BETA,SHORT,EXIT,79580.40,-4.4385,h_gate_off net=-6.1985 hold=7200s
2026-09-05T11:36:00,ALPHA,LONG,EXIT,79600.00,-6.9914,h_gate_off net=-8.7514 hold=7200s
