ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
15:45:24,ACE_DUO_CLEAN_V3_15M,BETA,100,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:45:32,ACE_DUO_CLEAN_V3_15M,ALPHA,80,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.2964,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:45:33,ACE_DUO_CLEAN_V3_15M,BETA,101,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:45:38,ACE_DUO_CLEAN_V3_15M,BETA,102,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:45:38,ACE_DUO_CLEAN_V3_15M,ALPHA,81,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:45:44,ACE_DUO_CLEAN_V3_15M,ALPHA,82,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:45:49,ACE_DUO_CLEAN_V3_15M,ALPHA,83,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:45:49,ACE_DUO_CLEAN_V3_15M,BETA,103,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:45:54,ACE_DUO_CLEAN_V3_15M,BETA,104,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:45:57,ACE_DUO_CLEAN_V3_15M,ALPHA,84,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1353,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:45:59,ACE_DUO_CLEAN_V3_15M,BETA,105,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:46:04,ACE_DUO_CLEAN_V3_15M,BETA,106,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
