ts,px_close,H_alpha,H_beta,h_src_alpha,h_src_beta,pos_alpha,pos_beta,pnlVirtAlpha,pnlVirtBeta
2026-09-05T19:01:00,79904.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:02:00,79900.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:03:00,79891.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:04:00,79897.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:05:00,79898.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:06:00,79916.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:07:00,79916.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:08:00,79910.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:09:00,79913.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:10:00,79936.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:11:00,79935.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:12:00,79922.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:13:00,79905.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:14:00,79901.50,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:15:00,79929.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:16:00,79920.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:17:00,79904.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:18:00,79898.10,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:19:00,79898.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:20:00,79892.60,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:21:00,79866.00,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:22:00,79882.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:23:00,79907.40,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:24:00,79923.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:25:00,79937.80,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:26:00,79937.90,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:27:00,79939.70,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:28:00,79925.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
2026-09-05T19:29:00,79925.20,0,0,SHADOW,SHADOW,,,6.1927,9.9839
