ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
2026-09-01T16:03:30Z,ACE_DUO_CLEAN_V4_15M,BETA,11,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.2027 mom_sig=0.24323790 raw_mom_bps=0.00000000 spread_bps=20.86750000 tension=0.24323790 bid_drop=1.58104633 ask_drop=0.05090700 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:03:42Z,ACE_DUO_CLEAN_V4_15M,BETA,12,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.1013 mom_sig=0.12154067 raw_mom_bps=-42.45138178 spread_bps=22.49230000 tension=0.12154067 bid_drop=0.79001433 ask_drop=0.00093264 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:03:51Z,ACE_DUO_CLEAN_V4_15M,BETA,13,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=direction_unclear conf=0.112 mom_sig=0.09128819 raw_mom_bps=0.00000000 spread_bps=4.22270000 tension=0.09128819 bid_drop=0.59337326 ask_drop=0.00971826 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:03:56Z,ACE_DUO_CLEAN_V4_15M,BETA,14,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:04:57Z,ACE_DUO_CLEAN_V4_15M,BETA,15,BTCUSDT,,,77828.2,,,FILLED,ALLOW,SELL,0.7521,csv_engine:stop_loss;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:05:03Z,ACE_DUO_CLEAN_V4_15M,BETA,16,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:05:12Z,ACE_DUO_CLEAN_V4_15M,BETA,17,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=0.85843368 raw_mom_bps=0.00000000 spread_bps=33.26090000 tension=0.85843368 bid_drop=0.03207761 ask_drop=5.57981895 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:05:25Z,ACE_DUO_CLEAN_V4_15M,BETA,18,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=1.04200541 raw_mom_bps=0.00000000 spread_bps=28.97370000 tension=1.04200541 bid_drop=6.77303515 ask_drop=2.91683456 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:05:30Z,ACE_DUO_CLEAN_V4_15M,BETA,19,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:05:36Z,ACE_DUO_CLEAN_V4_15M,BETA,20,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:05:46Z,ACE_DUO_CLEAN_V4_15M,BETA,21,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=1.54215427 raw_mom_bps=0.00000000 spread_bps=24.54570000 tension=1.54215427 bid_drop=10.02400278 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:05:52Z,ACE_DUO_CLEAN_V4_15M,BETA,22,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00001035 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:05:59Z,ACE_DUO_CLEAN_V4_15M,BETA,23,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=4.23077270 raw_mom_bps=0.00000000 spread_bps=9.86820000 tension=4.23077270 bid_drop=27.50002257 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:06:07Z,ACE_DUO_CLEAN_V4_15M,BETA,24,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=5.98755570 raw_mom_bps=0.00000000 spread_bps=18.62200000 tension=5.98755570 bid_drop=17.64213537 ask_drop=38.91911205 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:06:12Z,ACE_DUO_CLEAN_V4_15M,BETA,25,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:06:17Z,ACE_DUO_CLEAN_V4_15M,BETA,26,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
