ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
2026-09-01T16:04:25Z,ACE_DUO_CLEAN_V4_15M,ALPHA,18,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:04:30Z,ACE_DUO_CLEAN_V4_15M,ALPHA,19,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:05:01Z,ACE_DUO_CLEAN_V4_15M,ALPHA,20,BTCUSDT,,,77831.1,,,FILLED,ALLOW,BUY,0.6591,csv_engine:trailing_stop;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:05:09Z,ACE_DUO_CLEAN_V4_15M,ALPHA,21,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00479939 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:05:14Z,ACE_DUO_CLEAN_V4_15M,ALPHA,22,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00111407 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:05:22Z,ACE_DUO_CLEAN_V4_15M,ALPHA,23,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.3713 mom_sig=0.44559461 raw_mom_bps=0.00000000 spread_bps=28.97370000 tension=0.44559461 bid_drop=0.00000000 ask_drop=2.89636496 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:05:30Z,ACE_DUO_CLEAN_V4_15M,ALPHA,24,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=0.70726480 raw_mom_bps=0.00000000 spread_bps=24.55850000 tension=0.70726480 bid_drop=4.59722119 ask_drop=0.19834704 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:05:36Z,ACE_DUO_CLEAN_V4_15M,ALPHA,25,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:05:46Z,ACE_DUO_CLEAN_V4_15M,ALPHA,26,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=1.54215427 raw_mom_bps=0.00000000 spread_bps=24.54570000 tension=1.54215427 bid_drop=10.02400278 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:05:52Z,ACE_DUO_CLEAN_V4_15M,ALPHA,27,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00001035 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
