trade_id,ts,symbol,side,qty,price,realized_pnl,commission,commission_asset,role
529693466,2026-08-21T14:07:53Z,BTCUSDT,SELL,0.00320000,77050.10,0.00000000,0.09862412,USDT,
529693479,2026-08-21T14:07:55Z,BTCUSDT,SELL,0.00200000,77050.10,0.00000000,0.06164008,USDT,
529694435,2026-08-21T14:10:42Z,BTCUSDT,BUY,0.00640000,76998.00,0.34372000,0.19711488,USDT,
529694456,2026-08-21T14:10:50Z,BTCUSDT,SELL,0.02830000,76993.20,-2.18342000,0.87156302,USDT,
529695009,2026-08-21T14:12:53Z,BTCUSDT,SELL,0.00120000,76983.90,0.00000000,0.03695227,USDT,
529695010,2026-08-21T14:12:53Z,BTCUSDT,SELL,0.00610000,76976.60,0.00000000,0.18782290,USDT,
529695047,2026-08-21T14:12:56Z,BTCUSDT,SELL,0.00120000,76988.40,0.00000000,0.03695443,USDT,
529695048,2026-08-21T14:12:56Z,BTCUSDT,SELL,0.00130000,76979.60,0.00000000,0.04002939,USDT,
529695049,2026-08-21T14:12:56Z,BTCUSDT,SELL,0.00070000,76976.50,0.00000000,0.02155342,USDT,
529695611,2026-08-21T14:14:41Z,BTCUSDT,BUY,0.00070000,76897.00,0.05750333,0.02153116,USDT,
529695612,2026-08-21T14:14:41Z,BTCUSDT,BUY,0.00100000,76897.70,0.08144761,0.03075908,USDT,
529695613,2026-08-21T14:14:41Z,BTCUSDT,BUY,0.00130000,76910.70,0.08898190,0.03999356,USDT,
529695614,2026-08-21T14:14:41Z,BTCUSDT,BUY,0.00750000,76982.60,-0.02589285,0.23094780,USDT,
529695650,2026-08-21T14:14:47Z,BTCUSDT,BUY,0.00130000,76912.70,0.00000000,0.03999460,USDT,
529695651,2026-08-21T14:14:47Z,BTCUSDT,BUY,0.00100000,76927.80,0.00000000,0.03077112,USDT,
529695652,2026-08-21T14:14:47Z,BTCUSDT,BUY,0.00130000,76928.90,0.00000000,0.04000302,USDT,
529695653,2026-08-21T14:14:47Z,BTCUSDT,BUY,0.00950000,76982.60,0.00000000,0.29253388,USDT,
529695827,2026-08-21T14:15:05Z,BTCUSDT,SELL,0.00100000,76850.60,-0.11555114,0.03074024,USDT,
529695828,2026-08-21T14:15:05Z,BTCUSDT,SELL,0.00150000,76847.70,-0.17767671,0.04610862,USDT,
529695829,2026-08-21T14:15:05Z,BTCUSDT,SELL,0.01060000,76834.90,-1.39126213,0.32577997,USDT,
529696190,2026-08-21T14:16:43Z,BTCUSDT,BUY,0.00650000,76850.20,0.00000000,0.19981052,USDT,
529696201,2026-08-21T14:16:46Z,BTCUSDT,BUY,0.00100000,76849.50,0.00000000,0.03073980,USDT,
529696202,2026-08-21T14:16:46Z,BTCUSDT,BUY,0.00560000,76850.20,0.00000000,0.17214444,USDT,
529696603,2026-08-21T14:18:26Z,BTCUSDT,SELL,0.01310000,76846.90,-0.04252999,0.40267775,USDT,
529696676,2026-08-21T14:18:45Z,BTCUSDT,SELL,0.00450000,76837.80,0.00000000,0.13830804,USDT,
529696695,2026-08-21T14:18:49Z,BTCUSDT,SELL,0.00200000,76837.80,0.00000000,0.06147024,USDT,
529697488,2026-08-21T14:19:49Z,BTCUSDT,BUY,0.00650000,76755.70,0.53365000,0.19956482,USDT,
529698460,2026-08-21T14:22:47Z,BTCUSDT,SELL,0.00100000,76638.10,0.00000000,0.03065524,USDT,
529698461,2026-08-21T14:22:47Z,BTCUSDT,SELL,0.00130000,76628.70,0.00000000,0.03984692,USDT,
529698462,2026-08-21T14:22:47Z,BTCUSDT,SELL,0.00220000,76611.90,0.00000000,0.06741847,USDT,
529698489,2026-08-21T14:22:50Z,BTCUSDT,SELL,0.00100000,76654.30,0.00000000,0.03066172,USDT,
529698490,2026-08-21T14:22:50Z,BTCUSDT,SELL,0.00100000,76647.20,0.00000000,0.03065888,USDT,
529698716,2026-08-21T14:23:29Z,BTCUSDT,BUY,0.00650000,76756.10,-0.81156000,0.19956586,USDT,
529698916,2026-08-21T14:24:18Z,BTCUSDT,BUY,0.02120000,76761.00,0.00000000,0.65093327,USDT,
529698924,2026-08-21T14:24:21Z,BTCUSDT,BUY,0.02130000,76761.00,0.00000000,0.65400371,USDT,
529698930,2026-08-21T14:24:22Z,BTCUSDT,SELL,0.00100000,76744.00,0.00000000,0.03069760,USDT,
529698931,2026-08-21T14:24:22Z,BTCUSDT,SELL,0.00100000,76743.90,0.00000000,0.03069756,USDT,
529698932,2026-08-21T14:24:22Z,BTCUSDT,SELL,0.00130000,76721.20,0.00000000,0.03989502,USDT,
529698933,2026-08-21T14:24:22Z,BTCUSDT,SELL,0.00120000,76700.00,0.00000000,0.03681600,USDT,
529698944,2026-08-21T14:24:24Z,BTCUSDT,SELL,0.00100000,76744.80,0.00000000,0.03069792,USDT,
529698945,2026-08-21T14:24:24Z,BTCUSDT,SELL,0.00100000,76719.30,0.00000000,0.03068772,USDT,
529699621,2026-08-21T14:26:02Z,BTCUSDT,BUY,0.00650000,77031.70,-1.97649000,0.20028242,USDT,
529699683,2026-08-21T14:26:11Z,BTCUSDT,SELL,0.00120000,77004.00,0.29160000,0.03696192,USDT,
529699684,2026-08-21T14:26:11Z,BTCUSDT,SELL,0.00100000,77002.40,0.24140000,0.03080096,USDT,
529699685,2026-08-21T14:26:11Z,BTCUSDT,SELL,0.00070000,77000.00,0.16730000,0.02156000,USDT,
529699686,2026-08-21T14:26:11Z,BTCUSDT,SELL,0.00130000,76983.90,0.28977000,0.04003162,USDT,
529699687,2026-08-21T14:26:11Z,BTCUSDT,SELL,0.00100000,76954.70,0.19370000,0.03078188,USDT,
529699688,2026-08-21T14:26:11Z,BTCUSDT,SELL,0.03730000,76900.00,5.18470000,1.14734800,USDT,
529700426,2026-08-21T14:27:45Z,BTCUSDT,SELL,0.00030000,77022.80,0.00000000,0.00924273,USDT,
529700427,2026-08-21T14:27:45Z,BTCUSDT,SELL,0.00100000,77021.90,0.00000000,0.03080876,USDT,
529700428,2026-08-21T14:27:45Z,BTCUSDT,SELL,0.00310000,76999.00,0.00000000,0.09547876,USDT,
529700447,2026-08-21T14:27:47Z,BTCUSDT,SELL,0.00130000,77014.70,0.00000000,0.04004764,USDT,
529700448,2026-08-21T14:27:47Z,BTCUSDT,SELL,0.00070000,77011.60,0.00000000,0.02156324,USDT,
529701295,2026-08-21T14:29:13Z,BTCUSDT,BUY,0.00120000,77168.70,0.00000000,0.03704097,USDT,
529701296,2026-08-21T14:29:13Z,BTCUSDT,BUY,0.00100000,77187.10,0.00000000,0.03087484,USDT,
529701297,2026-08-21T14:29:13Z,BTCUSDT,BUY,0.00210000,77194.50,0.00000000,0.06484338,USDT,
529701327,2026-08-21T14:29:16Z,BTCUSDT,BUY,0.00440000,77141.60,0.00000000,0.13576921,USDT,
529701649,2026-08-21T14:29:45Z,BTCUSDT,BUY,0.00640000,77058.10,-0.31896999,0.19726873,USDT,
529702240,2026-08-21T14:30:58Z,BTCUSDT,SELL,0.00100000,77065.60,-0.09773678,0.03082624,USDT,
529702241,2026-08-21T14:30:58Z,BTCUSDT,SELL,0.00130000,77063.40,-0.12991781,0.04007296,USDT,
529702242,2026-08-21T14:30:58Z,BTCUSDT,SELL,0.00640000,77063.20,-0.64087540,0.19728179,USDT,
529702456,2026-08-21T14:31:32Z,BTCUSDT,SELL,0.00440000,77063.30,0.00000000,0.13563140,USDT,
529702463,2026-08-21T14:31:34Z,BTCUSDT,SELL,0.00120000,77070.40,0.00000000,0.03699379,USDT,
529702464,2026-08-21T14:31:34Z,BTCUSDT,SELL,0.00080000,77064.90,0.00000000,0.02466076,USDT,
529703451,2026-08-21T14:34:36Z,BTCUSDT,BUY,0.00640000,77143.90,-0.50604000,0.19748838,USDT,
529703478,2026-08-21T14:34:50Z,BTCUSDT,BUY,0.00650000,77143.00,0.00000000,0.20057180,USDT,
529703484,2026-08-21T14:34:53Z,BTCUSDT,BUY,0.00660000,77143.00,0.00000000,0.20365752,USDT,
529703963,2026-08-21T14:36:32Z,BTCUSDT,SELL,0.00440000,77065.00,0.00000000,0.13563439,USDT,
529703969,2026-08-21T14:36:35Z,BTCUSDT,SELL,0.00120000,77075.80,0.00000000,0.03699638,USDT,
529703970,2026-08-21T14:36:35Z,BTCUSDT,SELL,0.00080000,77065.00,0.00000000,0.02466080,USDT,
529703972,2026-08-21T14:36:35Z,BTCUSDT,SELL,0.00100000,77065.00,-0.07800000,0.03082600,USDT,
529703973,2026-08-21T14:36:35Z,BTCUSDT,SELL,0.00130000,77065.00,-0.10140000,0.04007380,USDT,
529703974,2026-08-21T14:36:35Z,BTCUSDT,SELL,0.00100000,77063.20,-0.07980000,0.03082528,USDT,
529703975,2026-08-21T14:36:35Z,BTCUSDT,SELL,0.00980000,77054.10,-0.87121999,0.30205207,USDT,
529703976,2026-08-21T14:36:36Z,BTCUSDT,BUY,0.00070000,77072.70,-0.00397250,0.02158035,USDT,
529703977,2026-08-21T14:36:36Z,BTCUSDT,BUY,0.00100000,77074.90,-0.00787500,0.03082996,USDT,
529703978,2026-08-21T14:36:36Z,BTCUSDT,BUY,0.00470000,77077.50,-0.04923250,0.14490570,USDT,
529704417,2026-08-21T14:37:28Z,BTCUSDT,SELL,0.00440000,77196.70,0.00000000,0.13586619,USDT,
529704425,2026-08-21T14:37:30Z,BTCUSDT,SELL,0.00200000,77196.70,0.00000000,0.06175736,USDT,
529704840,2026-08-21T14:38:41Z,BTCUSDT,BUY,0.00100000,77076.40,0.12030000,0.03083056,USDT,
529704841,2026-08-21T14:38:41Z,BTCUSDT,BUY,0.00130000,77084.30,0.14612000,0.04008383,USDT,
529704842,2026-08-21T14:38:41Z,BTCUSDT,BUY,0.00410000,77103.80,0.38089000,0.12645023,USDT,
529705541,2026-08-21T14:40:55Z,BTCUSDT,SELL,0.00440000,76938.20,0.00000000,0.13541123,USDT,
529705550,2026-08-21T14:40:58Z,BTCUSDT,SELL,0.00200000,76937.30,0.00000000,0.06154984,USDT,
529706451,2026-08-21T14:44:08Z,BTCUSDT,BUY,0.00100000,76953.90,0.00000000,0.03078156,USDT,
529706452,2026-08-21T14:44:08Z,BTCUSDT,BUY,0.00770000,76961.00,0.00000000,0.23703988,USDT,
529706460,2026-08-21T14:44:11Z,BTCUSDT,BUY,0.00880000,76961.00,0.00000000,0.27090272,USDT,
529706674,2026-08-21T14:44:15Z,BTCUSDT,BUY,0.00640000,77100.00,-1.03732000,0.19737600,USDT,
529707277,2026-08-21T14:46:22Z,BTCUSDT,SELL,0.00440000,77105.00,0.00000000,0.13570479,USDT,
529707296,2026-08-21T14:46:24Z,BTCUSDT,SELL,0.00100000,77096.90,0.00000000,0.03083876,USDT,
529707297,2026-08-21T14:46:24Z,BTCUSDT,SELL,0.00100000,77072.60,0.00000000,0.03082904,USDT,
529707467,2026-08-21T14:46:32Z,BTCUSDT,SELL,0.00100000,77188.00,0.22740571,0.03087520,USDT,
529707468,2026-08-21T14:46:32Z,BTCUSDT,SELL,0.00130000,77164.90,0.26559742,0.04012574,USDT,
529707469,2026-08-21T14:46:32Z,BTCUSDT,SELL,0.00070000,77111.10,0.10535400,0.02159110,USDT,
529707470,2026-08-21T14:46:32Z,BTCUSDT,SELL,0.01450000,77100.00,2.02138285,0.44718000,USDT,
529707557,2026-08-21T14:47:02Z,BTCUSDT,BUY,0.00640000,77200.00,-0.64850000,0.19763200,USDT,
529708475,2026-08-21T14:49:48Z,BTCUSDT,BUY,0.00650000,77300.80,0.00000000,0.20098208,USDT,
529708484,2026-08-21T14:49:51Z,BTCUSDT,BUY,0.00650000,77300.80,0.00000000,0.20098208,USDT,
529708528,2026-08-21T14:50:05Z,BTCUSDT,SELL,0.00440000,77297.00,0.00000000,0.13604272,USDT,
529708540,2026-08-21T14:50:08Z,BTCUSDT,SELL,0.00200000,77295.90,0.00000000,0.06183672,USDT,
529708546,2026-08-21T14:50:10Z,BTCUSDT,BUY,0.00640000,77300.70,-0.02587999,0.19788979,USDT,
529709594,2026-08-21T14:54:14Z,BTCUSDT,SELL,0.01300000,77391.00,1.17260000,0.40243320,USDT,
