model_file,start_utc,end_utc,tag,pnl_total_usdt,status,notes
MODELE_MASTER_BASE_20260309_220324_4H.sh,2026-03-09T22:03:24Z,2026-03-10T02:03:24Z,MASTER_BASE_V8_5_IMPACT_4H,A_VERIFIER,ARCHIVE_REFERENCE,"Modele archive avec description cycle conservee"
vide_froid_vortex_v2_collab,2026-07-12T16:35:36Z,2026-07-12T16:50:27Z,MASTER_VORTEX_V2_COLLAB_4H,-0.9497,NEGATIF,BETA=+0.0398 ALPHA=-0.9894 TOTAL=-0.9497,RAPPORT_PNL_AUTO_20260712_165037.md
vide_froid_vortex_v2_collab,2026-07-12T16:50:55Z,2026-07-12T16:57:47Z,MASTER_VORTEX_V2_COLLAB_4H,-2.0065,NEGATIF,BETA=+0.1963 ALPHA=-2.2028 TOTAL=-2.0065,RAPPORT_PNL_AUTO_20260712_165755.md
vide_froid_binance,2026-07-12T16:58:13Z,2026-07-12T16:59:56Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0084,NEGATIF,BETA=-0.0084 ALPHA=+0.0000 TOTAL=-0.0084,RAPPORT_PNL_AUTO_20260712_165957.md
vide_froid_vortex_v2_collab,2026-07-12T17:03:54Z,2026-07-12T17:18:51Z,MASTER_VORTEX_V2_COLLAB_4H,0.6150,POSITIF,BETA=-0.0758 ALPHA=+0.6908 TOTAL=+0.6150,RAPPORT_PNL_AUTO_20260712_171902.md
vide_froid_binance,2026-07-12T17:19:27Z,2026-07-12T18:03:52Z,MASTER_VORTEX_V2_COLLAB_4H,2.7843,POSITIF,BETA=+0.2053 ALPHA=+2.5790 TOTAL=+2.7843,RAPPORT_PNL_AUTO_20260712_180354.md
vide_froid_vortex_v2_collab,2026-07-12T20:10:01Z,2026-07-12T20:31:07Z,MASTER_VORTEX_V2_COLLAB_4H,0.5528,POSITIF,BETA=-0.0183 ALPHA=+0.5710 TOTAL=+0.5528,RAPPORT_PNL_AUTO_20260712_203110.md
vide_froid_vortex_v2_collab,2026-07-12T20:36:11Z,2026-07-12T20:50:03Z,MASTER_VORTEX_V2_COLLAB_4H,-0.1945,NEGATIF,BETA=-0.0306 ALPHA=-0.1638 TOTAL=-0.1945,RAPPORT_PNL_AUTO_20260712_205013.md
vide_froid_binance,2026-07-12T20:50:30Z,2026-07-12T20:59:22Z,MASTER_VORTEX_V2_COLLAB_4H,2.2063,POSITIF,BETA=-0.0536 ALPHA=+2.2599 TOTAL=+2.2063,RAPPORT_PNL_AUTO_20260712_205928.md
vide_froid_binance,2026-07-12T20:50:30Z,2026-07-12T20:59:22Z,MASTER_VORTEX_V2_COLLAB_4H,2.2063,POSITIF,BETA=-0.0536 ALPHA=+2.2599 TOTAL=+2.2063,RAPPORT_PNL_AUTO_20260712_211449.md
vide_froid_binance,2026-07-12T20:50:30Z,2026-07-12T20:59:22Z,MASTER_VORTEX_V2_COLLAB_4H,2.2063,POSITIF,BETA=-0.0536 ALPHA=+2.2599 TOTAL=+2.2063,RAPPORT_PNL_AUTO_20260713_131538.md
vide_froid_binance,2026-07-12T20:50:30Z,2026-07-12T20:59:22Z,MASTER_VORTEX_V2_COLLAB_4H,2.2063,POSITIF,BETA=-0.0536 ALPHA=+2.2599 TOTAL=+2.2063,RAPPORT_PNL_AUTO_20260713_131734.md
vide_froid_vortex_v2_collab,2026-07-13T13:24:56Z,2026-07-13T13:30:54Z,MASTER_VORTEX_V2_COLLAB_4H,-16.3159,NEGATIF,BETA=+0.5233 ALPHA=-16.8392 TOTAL=-16.3159,RAPPORT_PNL_AUTO_20260713_133057.md
vide_froid_binance,2026-07-13T13:31:24Z,2026-07-13T13:41:30Z,MASTER_VORTEX_V2_COLLAB_4H,0.1864,POSITIF,BETA=+0.1864 ALPHA=+0.0000 TOTAL=+0.1864,RAPPORT_PNL_AUTO_20260713_134140.md
vide_froid_binance,2026-07-13T13:42:57Z,2026-07-13T13:50:00Z,MASTER_VORTEX_V2_COLLAB_4H,0.4052,POSITIF,BETA=+0.4052 ALPHA=+0.0000 TOTAL=+0.4052,RAPPORT_PNL_AUTO_20260713_135001.md
vide_froid_binance,2026-07-13T14:08:18Z,2026-07-13T14:11:32Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260713_141136.md
vide_froid_binance,2026-07-13T14:15:21Z,2026-07-13T14:31:37Z,MASTER_VORTEX_V2_COLLAB_4H,0.1888,POSITIF,BETA=+0.1888 ALPHA=+0.0000 TOTAL=+0.1888,RAPPORT_PNL_AUTO_20260713_143146.md
vide_froid_binance,2026-07-13T15:53:26Z,2026-07-13T16:07:58Z,MASTER_VORTEX_V2_COLLAB_4H,-2.3654,NEGATIF,BETA=+0.0296 ALPHA=-2.3950 TOTAL=-2.3654,RAPPORT_PNL_AUTO_20260713_160800.md
vide_froid_binance,2026-07-13T15:53:26Z,2026-07-13T16:07:58Z,MASTER_VORTEX_V2_COLLAB_4H,-2.3654,NEGATIF,BETA=+0.0296 ALPHA=-2.3950 TOTAL=-2.3654,RAPPORT_PNL_AUTO_20260713_161503.md
vide_froid_binance,2026-07-13T16:15:19Z,2026-07-13T16:29:51Z,MASTER_BASE_V8_5_IMPACT_4H00,1.3362,POSITIF,BETA=+1.3362 ALPHA=+0.0000 TOTAL=+1.3362,RAPPORT_PNL_AUTO_20260713_162955.md
vide_froid_binance,2026-07-13T16:15:19Z,2026-07-13T16:29:51Z,MASTER_BASE_V8_5_IMPACT_4H00,1.3362,POSITIF,BETA=+1.3362 ALPHA=+0.0000 TOTAL=+1.3362,RAPPORT_PNL_AUTO_20260713_170955.md
vide_froid_binance,2026-07-13T17:10:25Z,2026-07-13T18:42:03Z,MASTER_BASE_V8_5_IMPACT_4H00,1.5148,POSITIF,BETA=+1.5123 ALPHA=+0.0025 TOTAL=+1.5148,RAPPORT_PNL_AUTO_20260713_184204.md
vide_froid_binance,2026-07-13T18:50:27Z,2026-07-13T19:17:16Z,MASTER_BASE_V8_5_IMPACT_4H00,-1.4350,NEGATIF,BETA=+0.2248 ALPHA=-1.6599 TOTAL=-1.4350,RAPPORT_PNL_AUTO_20260713_191721.md
vide_froid_binance,2026-07-13T19:27:40Z,2026-07-13T19:36:57Z,MASTER_BASE_V8_5_IMPACT_4H00,-6.6520,NEGATIF,BETA=+0.1597 ALPHA=-6.8116 TOTAL=-6.6520,RAPPORT_PNL_AUTO_20260713_193658.md
vide_froid_binance,2026-07-13T21:05:19Z,2026-07-13T21:13:46Z,MASTER_BASE_V8_5_IMPACT_4H00,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260713_211408.md
vide_froid_binance,2026-07-13T21:05:19Z,2026-07-13T21:13:46Z,MASTER_BASE_V8_5_IMPACT_4H00,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260713_211420.md
vide_froid_binance,2026-07-13T21:05:19Z,2026-07-13T21:13:46Z,MASTER_BASE_V8_5_IMPACT_4H00,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260714_035355.md
vide_froid_binance,2026-07-14T03:54:31Z,2026-07-14T03:54:31Z,MASTER_BASE_V8_5_IMPACT_4H00,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260714_035435.md
vide_froid_binance,2026-07-14T04:05:50Z,2026-07-14T06:49:28Z,MASTER_BASE_V8_5_IMPACT_4H00,-10.9461,NEGATIF,BETA=+1.0533 ALPHA=-11.9994 TOTAL=-10.9461,RAPPORT_PNL_AUTO_20260714_064947.md
vide_froid_binance,2026-07-14T06:34:37Z,2026-07-14T06:49:29Z,NUAGE_SMOKE_15M,0.7144,POSITIF,BETA=-0.2976 ALPHA=+1.0120 TOTAL=+0.7144,RAPPORT_PNL_AUTO_20260714_065706.md
vide_froid_binance,2026-07-14T06:57:38Z,2026-07-14T09:07:03Z,NUAGE_4H00,2.6552,POSITIF,BETA=+2.6552 ALPHA=+0.0000 TOTAL=+2.6552,RAPPORT_PNL_AUTO_20260714_090705.md
vide_froid_binance,2026-07-14T10:10:15Z,2026-07-14T10:25:06Z,NUAGE_V2_SMOKE_15M,0.2433,POSITIF,BETA=+0.2433 ALPHA=+0.0000 TOTAL=+0.2433,RAPPORT_PNL_AUTO_20260714_105145.md
config_active,2026-07-14T10:10:15Z,2026-07-14T10:25:06Z,NUAGE_V2_SMOKE_15M,0.2433,POSITIF,BETA=+0.2433 ALPHA=+0.0000 TOTAL=+0.2433,RAPPORT_PNL_AUTO_20260714_112331.md
vide_froid_binance,"","",NUAGE_PROD_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260714_112635.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_142848.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_143044.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_144555.md
config_active,2026-07-14T11:26:52Z,2026-07-14T14:28:41Z,NUAGE_PROD_4H,35.2386,POSITIF,BETA=-0.2479 ALPHA=+35.4865 TOTAL=+35.2386,RAPPORT_PNL_AUTO_20260714_144633.md
vide_froid_binance,"","",NUAGE_SMOKE_1447Z,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260714_144709.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_145310.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_145533.md
config_active,2026-07-14T14:47:26Z,2026-07-14T14:53:08Z,NUAGE_SMOKE_1447Z,0.0720,POSITIF,BETA=+0.0720 ALPHA=+0.0000 TOTAL=+0.0720,RAPPORT_PNL_AUTO_20260714_145941.md
vide_froid_binance,"","",NUAGE_SMOKE_1503Z,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260714_150316.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_151752.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_151849.md
vide_froid_binance,"","",NUAGE_SMOKE_1523Z,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260714_152343.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_174656.md
config_active,2026-07-14T17:48:02Z,2026-07-14T17:48:23Z,NUAGE_BOOTTEST_1747Z,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260714_174825.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_174850.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_174902.md
config_active,2026-07-14T17:49:43Z,2026-07-14T17:50:04Z,NUAGE_BOOTTEST_1749Z,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260714_175006.md
config_active,2026-07-14T15:26:31Z,2026-07-14T15:41:18Z,NUAGE_SMOKE_1526Z,-0.6071,NEGATIF,BETA=-0.6071 ALPHA=+0.0000 TOTAL=-0.6071,RAPPORT_PNL_AUTO_20260714_180655.md
config_active,2026-07-14T18:07:13Z,2026-07-14T18:22:12Z,NUAGE_SMOKE_1807Z,-1.3009,NEGATIF,BETA=-0.1156 ALPHA=-1.1853 TOTAL=-1.3009,RAPPORT_PNL_AUTO_20260714_182922.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_183705.md
config_active,2026-07-14T18:29:41Z,2026-07-14T18:37:03Z,NUAGE_PROD_4H_20260714_1829Z,-3.4011,NEGATIF,BETA=+1.0506 ALPHA=-4.4516 TOTAL=-3.4011,RAPPORT_PNL_AUTO_20260714_183921.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_195127.md
config_active,2026-07-14T20:06:45Z,2026-07-14T20:06:45Z,NUAGE_BOOTTEST_2006Z,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260714_200657.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_204345.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_204838.md
config_active,2026-07-14T20:44:57Z,2026-07-14T20:48:33Z,NUAGE_PROD_4H,-0.4054,NEGATIF,BETA=-0.4054 ALPHA=+0.0000 TOTAL=-0.4054,RAPPORT_PNL_AUTO_20260714_205004.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260714_221847.md
config_active,2026-07-14T20:50:25Z,2026-07-14T22:04:42Z,NUAGE_PROD_4H,1.9534,POSITIF,BETA=+0.5679 ALPHA=+1.3856 TOTAL=+1.9534,RAPPORT_PNL_AUTO_20260714_221939.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260715_044540.md
config_active,2026-07-14T22:22:13Z,2026-07-15T02:22:06Z,NUAGE_PROD_4H,7.5083,POSITIF,BETA=-2.4376 ALPHA=+9.9459 TOTAL=+7.5083,RAPPORT_PNL_AUTO_20260715_044733.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260715_054131.md
config_active,2026-07-15T05:42:27Z,2026-07-15T06:46:36Z,NUAGE_PROD_4H,-4.1709,NEGATIF,BETA=+0.7210 ALPHA=-4.8919 TOTAL=-4.1709,RAPPORT_PNL_AUTO_20260715_070715.md
vide_froid_binance,2026-07-15T07:08:45Z,2026-07-15T08:43:19Z,NUAGE_PROD_4H,7.8978,POSITIF,BETA=+0.5232 ALPHA=+7.3746 TOTAL=+7.8978,RAPPORT_PNL_AUTO_20260715_085207.md
config_active,2026-07-15T08:52:26Z,2026-07-15T09:38:15Z,NUAGE_PROD_4H,-6.5898,NEGATIF,BETA=-0.2500 ALPHA=-6.3398 TOTAL=-6.5898,RAPPORT_PNL_AUTO_20260715_094133.md
config_active,2026-07-15T09:41:56Z,2026-07-15T10:12:29Z,NUAGE_PROD_4H,-1.7380,NEGATIF,BETA=-1.7119 ALPHA=-0.0261 TOTAL=-1.7380,RAPPORT_PNL_AUTO_20260715_105643.md
config_active,2026-07-15T10:57:02Z,2026-07-15T11:48:10Z,NUAGE_PROD_4H,-0.7099,NEGATIF,BETA=-0.1475 ALPHA=-0.5624 TOTAL=-0.7099,RAPPORT_PNL_AUTO_20260715_121039.md
config_active,2026-07-15T12:11:00Z,2026-07-15T12:36:40Z,NUAGE_PROD_4H,-2.0210,NEGATIF,BETA=-1.5777 ALPHA=-0.4433 TOTAL=-2.0210,RAPPORT_PNL_AUTO_20260715_123840.md
config_active,2026-07-15T12:39:08Z,2026-07-15T13:00:06Z,NUAGE_PROD_4H,-5.2918,NEGATIF,BETA=-2.2303 ALPHA=-3.0615 TOTAL=-5.2918,RAPPORT_PNL_AUTO_20260715_144344.md
config_active,2026-07-15T14:44:17Z,2026-07-15T16:20:30Z,NUAGE_PROD_4H,4.4685,POSITIF,BETA=+1.3061 ALPHA=+3.1624 TOTAL=+4.4685,RAPPORT_PNL_AUTO_20260715_163007.md
config_active,2026-07-15T16:30:48Z,2026-07-15T20:30:36Z,NUAGE_PROD_4H,40.2138,POSITIF,BETA=-6.2442 ALPHA=+46.4580 TOTAL=+40.2138,RAPPORT_PNL_AUTO_20260715_203116.md
config_active,2026-07-15T20:31:51Z,2026-07-15T23:06:05Z,NUAGE_PROD_4H,5.3504,POSITIF,BETA=+2.1541 ALPHA=+3.1963 TOTAL=+5.3504,RAPPORT_PNL_AUTO_20260716_004336.md
config_active,2026-07-15T20:31:51Z,2026-07-15T23:06:05Z,NUAGE_PROD_4H,5.3504,POSITIF,BETA=+2.1541 ALPHA=+3.1963 TOTAL=+5.3504,RAPPORT_PNL_AUTO_20260716_041850.md
config_active,2026-07-16T04:19:25Z,2026-07-16T06:22:44Z,NUAGE_PROD_4H,0.4522,POSITIF,BETA=-0.6326 ALPHA=+1.0848 TOTAL=+0.4522,RAPPORT_PNL_AUTO_20260716_063401.md
config_active,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260716_080905.md
config_active,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260716_081600.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260716_082338.md
vide_froid_binance,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260716_082633.md
config_active,2026-07-14T10:53:17Z,2026-07-14T11:08:08Z,NUAGE_V2.1_SMOKE_15M,3.0484,POSITIF,BETA=-0.3299 ALPHA=+3.3782 TOTAL=+3.0484,RAPPORT_PNL_AUTO_20260716_082951.md
vide_froid_binance,"","",NUAGE_PROD_720H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260716_084145.md
vide_froid_binance,"","",NUAGE_PROD_720H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260716_084515.md
config_active,2026-07-16T08:45:37Z,2026-07-16T09:07:37Z,NUAGE_PROD_720H,-0.2374,NEGATIF,BETA=+0.6502 ALPHA=-0.8877 TOTAL=-0.2374,RAPPORT_PNL_AUTO_20260716_093358.md
vide_froid_binance,"","",NUAGE_PROD_24H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260716_094124.md
config_active,2026-07-16T08:45:37Z,2026-07-16T09:07:37Z,NUAGE_PROD_720H,-0.2374,NEGATIF,BETA=+0.6502 ALPHA=-0.8877 TOTAL=-0.2374,RAPPORT_PNL_AUTO_20260716_094313.md
config_active,2026-07-16T08:45:37Z,2026-07-16T09:07:37Z,NUAGE_PROD_720H,-0.2374,NEGATIF,BETA=+0.6502 ALPHA=-0.8877 TOTAL=-0.2374,RAPPORT_PNL_AUTO_20260716_094456.md
config_active,2026-07-16T08:45:37Z,2026-07-16T09:07:37Z,NUAGE_PROD_720H,-0.2374,NEGATIF,BETA=+0.6502 ALPHA=-0.8877 TOTAL=-0.2374,RAPPORT_PNL_AUTO_20260716_094825.md
config_active,2026-07-16T08:45:37Z,2026-07-16T09:07:37Z,NUAGE_PROD_720H,-0.2374,NEGATIF,BETA=+0.6502 ALPHA=-0.8877 TOTAL=-0.2374,RAPPORT_PNL_AUTO_20260716_095010.md
config_active,2026-07-16T08:45:37Z,2026-07-16T09:07:37Z,NUAGE_PROD_720H,-0.2374,NEGATIF,BETA=+0.6502 ALPHA=-0.8877 TOTAL=-0.2374,RAPPORT_PNL_AUTO_20260716_095305.md
config_active,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260716_095634.md
config_active,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260716_100012.md
config_active,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260716_100151.md
config_active,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260716_101127.md
config_active,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260716_101355.md
config_active,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260716_101831.md
config_active,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260716_101859.md
config_active,2026-07-16T10:20:16Z,2026-07-16T10:25:24Z,NUAGE_PROD_720H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260716_102529.md
config_active,2026-07-16T10:28:48Z,2026-07-16T11:01:26Z,NUAGE_PROD_720H,1.4807,POSITIF,BETA=+1.4807 ALPHA=+0.0000 TOTAL=+1.4807,RAPPORT_PNL_AUTO_20260716_110133.md
config_active,2026-07-16T11:02:52Z,2026-07-16T12:06:15Z,NUAGE_PROD_720H,0.3529,POSITIF,BETA=+0.3529 ALPHA=+0.0000 TOTAL=+0.3529,RAPPORT_PNL_AUTO_20260716_120620.md
config_active,2026-07-16T12:07:03Z,2026-07-16T12:08:09Z,NUAGE_PROD_720H,0.0356,POSITIF,BETA=+0.0356 ALPHA=+0.0000 TOTAL=+0.0356,RAPPORT_PNL_AUTO_20260716_120812.md
config_active,2026-07-16T12:07:03Z,2026-07-16T12:08:17Z,NUAGE_PROD_720H,0.0356,POSITIF,BETA=+0.0356 ALPHA=+0.0000 TOTAL=+0.0356,RAPPORT_PNL_AUTO_20260716_120825.md
config_active,2026-07-16T12:08:43Z,2026-07-16T12:09:06Z,NUAGE_PROD_720H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260716_120911.md
config_active,2026-07-16T12:08:43Z,2026-07-16T12:09:14Z,NUAGE_PROD_720H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260716_121223.md
config_active,2026-07-16T12:12:41Z,2026-07-16T12:13:23Z,NUAGE_PROD_720H,-0.0234,NEGATIF,BETA=-0.0234 ALPHA=+0.0000 TOTAL=-0.0234,RAPPORT_PNL_AUTO_20260716_121323.md
config_active,2026-07-16T12:12:41Z,2026-07-16T12:13:25Z,NUAGE_PROD_720H,-0.0234,NEGATIF,BETA=-0.0234 ALPHA=+0.0000 TOTAL=-0.0234,RAPPORT_PNL_AUTO_20260716_121455.md
vide_froid_binance,2026-07-16T12:15:16Z,2026-07-16T12:15:55Z,NUAGE_PROD_720H,0.1891,POSITIF,BETA=+0.1891 ALPHA=+0.0000 TOTAL=+0.1891,RAPPORT_PNL_AUTO_20260716_121557.md
vide_froid_binance,2026-07-16T12:15:16Z,2026-07-16T12:15:55Z,NUAGE_PROD_720H,0.1891,POSITIF,BETA=+0.1891 ALPHA=+0.0000 TOTAL=+0.1891,RAPPORT_PNL_AUTO_20260716_122114.md
vide_froid_binance,2026-07-16T12:15:16Z,2026-07-16T12:15:55Z,NUAGE_PROD_720H,0.1891,POSITIF,BETA=+0.1891 ALPHA=+0.0000 TOTAL=+0.1891,RAPPORT_PNL_AUTO_20260716_122448.md
vide_froid_binance,2026-07-16T12:15:16Z,2026-07-16T12:15:55Z,NUAGE_PROD_720H,0.1891,POSITIF,BETA=+0.1891 ALPHA=+0.0000 TOTAL=+0.1891,RAPPORT_PNL_AUTO_20260717_062533.md
vide_froid_binance,2026-07-16T12:15:16Z,2026-07-16T12:15:55Z,NUAGE_PROD_720H,0.1891,POSITIF,BETA=+0.1891 ALPHA=+0.0000 TOTAL=+0.1891,RAPPORT_PNL_AUTO_20260717_063606.md
config_active,2026-07-16T06:34:24Z,2026-07-16T07:40:11Z,NUAGE_PROD_4H,0.0299,POSITIF,BETA=+0.6607 ALPHA=-0.6308 TOTAL=+0.0299,RAPPORT_PNL_AUTO_20260717_063946.md
