model_file,start_utc,end_utc,tag,pnl_total_usdt,status,notes
MODELE_MASTER_BASE_20260309_220324_4H.sh,2026-03-09T22:03:24Z,2026-03-10T02:03:24Z,MASTER_BASE_V8_5_IMPACT_4H,A_VERIFIER,ARCHIVE_REFERENCE,"Modele archive avec description cycle conservee"
MODELE_VIDE_FROID_8H_20260310_231016.sh,2026-03-10T23:10:16Z,2026-03-11T07:10:16Z,MASTER_BASE_V8_5_IMPACT_8H00,17.6229,VALIDE_BASE_TRAVAIL,"BETA=+17.6229 ALPHA=0.0000 TOTAL=+17.6229"
vide_froid_binance,2026-07-21T07:57:20Z,2026-07-21T10:34:52Z,NUAGE_PROD_4H,-0.2607,NEGATIF,BETA=-0.3664 ALPHA=+0.1057 TOTAL=-0.2607,RAPPORT_PNL_AUTO_20260721_103843.md
vide_froid_binance,2026-07-21T07:57:20Z,2026-07-21T10:34:52Z,NUAGE_PROD_4H,-0.2607,NEGATIF,BETA=-0.3664 ALPHA=+0.1057 TOTAL=-0.2607,RAPPORT_PNL_AUTO_20260721_103954.md
vide_froid_binance,2026-07-21T07:57:20Z,2026-07-21T10:34:52Z,NUAGE_PROD_4H,-0.2607,NEGATIF,BETA=-0.3664 ALPHA=+0.1057 TOTAL=-0.2607,RAPPORT_PNL_AUTO_20260721_103955.md
vide_froid_binance,2026-07-21T07:57:20Z,2026-07-21T10:34:52Z,NUAGE_PROD_4H,-0.2607,NEGATIF,BETA=-0.3664 ALPHA=+0.1057 TOTAL=-0.2607,RAPPORT_PNL_AUTO_20260721_103959.md
vide_froid_binance,2026-07-21T10:40:16Z,2026-07-21T14:40:12Z,NUAGE_PROD_4H,-2.2247,NEGATIF,BETA=-0.2726 ALPHA=-1.9521 TOTAL=-2.2247,RAPPORT_PNL_AUTO_20260721_145008.md
vide_froid_binance,2026-07-21T10:40:16Z,2026-07-21T14:40:12Z,NUAGE_PROD_4H,-2.2247,NEGATIF,BETA=-0.2726 ALPHA=-1.9521 TOTAL=-2.2247,RAPPORT_PNL_AUTO_20260721_145009.md
vide_froid_binance,2026-07-21T10:40:16Z,2026-07-21T14:40:12Z,NUAGE_PROD_4H,-2.2247,NEGATIF,BETA=-0.2726 ALPHA=-1.9521 TOTAL=-2.2247,RAPPORT_PNL_AUTO_20260721_145013.md
vide_froid_binance,2026-07-21T14:50:32Z,2026-07-21T18:50:26Z,NUAGE_PROD_4H,11.1085,POSITIF,BETA=-0.3582 ALPHA=+11.4667 TOTAL=+11.1085,RAPPORT_PNL_AUTO_20260721_185911.md
vide_froid_binance,2026-07-21T14:50:32Z,2026-07-21T18:50:26Z,NUAGE_PROD_4H,11.1085,POSITIF,BETA=-0.3582 ALPHA=+11.4667 TOTAL=+11.1085,RAPPORT_PNL_AUTO_20260721_185912.md
vide_froid_binance,2026-07-21T14:50:32Z,2026-07-21T18:50:26Z,NUAGE_PROD_4H,11.1085,POSITIF,BETA=-0.3582 ALPHA=+11.4667 TOTAL=+11.1085,RAPPORT_PNL_AUTO_20260721_185917.md
vide_froid_binance,2026-07-21T19:01:34Z,2026-07-21T19:02:03Z,NUAGE_PROD_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260721_190331.md
vide_froid_binance,2026-07-21T19:01:34Z,2026-07-21T19:02:03Z,NUAGE_PROD_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260721_190331.md
vide_froid_binance,2026-07-21T19:01:34Z,2026-07-21T19:02:03Z,NUAGE_PROD_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260721_190336.md
vide_froid_binance,2026-07-22T06:42:00Z,2026-07-22T10:41:51Z,NUAGE_PROD_4H,-10.4348,NEGATIF,BETA=+0.1266 ALPHA=-10.5614 TOTAL=-10.4348,RAPPORT_PNL_AUTO_20260722_114225.md
vide_froid_binance,2026-07-22T06:42:00Z,2026-07-22T10:41:51Z,NUAGE_PROD_4H,-10.4348,NEGATIF,BETA=+0.1266 ALPHA=-10.5614 TOTAL=-10.4348,RAPPORT_PNL_AUTO_20260722_114226.md
vide_froid_binance,2026-07-22T06:42:00Z,2026-07-22T10:41:51Z,NUAGE_PROD_4H,-10.4348,NEGATIF,BETA=+0.1266 ALPHA=-10.5614 TOTAL=-10.4348,RAPPORT_PNL_AUTO_20260722_114230.md
vide_froid_binance,2026-07-22T11:45:04Z,2026-07-22T14:22:52Z,NUAGE_PROD_4H,-0.5609,NEGATIF,BETA=-0.7306 ALPHA=+0.1696 TOTAL=-0.5609,RAPPORT_PNL_AUTO_20260722_143239.md
vide_froid_binance,2026-07-22T11:45:04Z,2026-07-22T14:22:52Z,NUAGE_PROD_4H,-0.5609,NEGATIF,BETA=-0.7306 ALPHA=+0.1696 TOTAL=-0.5609,RAPPORT_PNL_AUTO_20260722_143239.md
vide_froid_binance,2026-07-22T11:45:04Z,2026-07-22T14:22:52Z,NUAGE_PROD_4H,-0.5609,NEGATIF,BETA=-0.7306 ALPHA=+0.1696 TOTAL=-0.5609,RAPPORT_PNL_AUTO_20260722_143244.md
vide_froid_binance,2026-07-29T13:15:21Z,2026-07-29T13:15:23Z,NUAGE_TEST_4H_0729b,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260729_131529.md
vide_froid_binance,2026-07-29T13:15:21Z,2026-07-29T13:15:23Z,NUAGE_TEST_4H_0729b,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260729_131529.md
vide_froid_binance,2026-07-29T13:15:21Z,2026-07-29T13:15:23Z,NUAGE_TEST_4H_0729b,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260729_131536.md
vide_froid_binance,2026-07-29T13:21:46Z,2026-07-29T15:08:54Z,NUAGE_TEST_4H_0729b,7.4893,POSITIF,BETA=-0.0119 ALPHA=+7.5013 TOTAL=+7.4893,RAPPORT_PNL_AUTO_20260729_150857.md
vide_froid_binance,"","",VALIDATION_VOIE_A_PACK_A,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260729_151251.md
vide_froid_binance,2026-07-29T15:12:58Z,2026-07-29T20:02:33Z,VALIDATION_VOIE_A_PACK_A,19.7876,POSITIF,BETA=+1.5526 ALPHA=+18.2349 TOTAL=+19.7876,RAPPORT_PNL_AUTO_20260729_200235.md
VALIDATION_VOIE_A,2026-07-29T15:12:58Z,2026-07-29T20:02:33Z,VALIDATION_VOIE_A_PACK_A,19.7876,POSITIF,BETA=+1.5526 ALPHA=+18.2349 TOTAL=+19.7876,RAPPORT_PNL_AUTO_20260729_200235.md
vide_froid_binance,"","",VALIDATION_VOIE_A_PACK_B,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260729_201336.md
vide_froid_binance,2026-07-29T20:13:44Z,2026-07-30T00:13:36Z,VALIDATION_VOIE_A_PACK_B,-19.1817,NEGATIF,BETA=+0.0122 ALPHA=-19.1938 TOTAL=-19.1817,RAPPORT_PNL_AUTO_20260730_001339.md
VALIDATION_VOIE_A,2026-07-29T20:13:44Z,2026-07-30T00:13:36Z,VALIDATION_VOIE_A_PACK_B,-19.1817,NEGATIF,BETA=+0.0122 ALPHA=-19.1938 TOTAL=-19.1817,RAPPORT_PNL_AUTO_20260730_001339.md
vide_froid_binance,"","",VALIDATION_VOIE_A_PACK_A_P2,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260730_062220.md
vide_froid_binance,2026-07-30T06:22:26Z,2026-07-30T10:22:24Z,VALIDATION_VOIE_A_PACK_A_P2,0.8096,POSITIF,BETA=+1.6224 ALPHA=-0.8128 TOTAL=+0.8096,RAPPORT_PNL_AUTO_20260730_102243.md
VALIDATION_VOIE_A,2026-07-30T06:22:26Z,2026-07-30T10:22:24Z,VALIDATION_VOIE_A_PACK_A_P2,0.8096,POSITIF,BETA=+1.6224 ALPHA=-0.8128 TOTAL=+0.8096,RAPPORT_PNL_AUTO_20260730_102243.md
vide_froid_binance,2026-07-30T06:22:26Z,2026-07-30T10:22:24Z,VALIDATION_VOIE_A_PACK_A_P2,0.8096,POSITIF,BETA=+1.6224 ALPHA=-0.8128 TOTAL=+0.8096,RAPPORT_PNL_AUTO_20260730_151036.md
vide_froid_binance,2026-07-30T06:22:26Z,2026-07-30T10:22:24Z,VALIDATION_VOIE_A_PACK_A_P2,0.8096,POSITIF,BETA=+1.6224 ALPHA=-0.8128 TOTAL=+0.8096,RAPPORT_PNL_AUTO_20260730_151036.md
vide_froid_binance,2026-07-30T06:22:26Z,2026-07-30T10:22:24Z,VALIDATION_VOIE_A_PACK_A_P2,0.8096,POSITIF,BETA=+1.6224 ALPHA=-0.8128 TOTAL=+0.8096,RAPPORT_PNL_AUTO_20260730_151041.md
vide_froid_binance,2026-07-30T06:22:26Z,2026-07-30T10:22:24Z,VALIDATION_VOIE_A_PACK_A_P2,0.8096,POSITIF,BETA=+1.6224 ALPHA=-0.8128 TOTAL=+0.8096,RAPPORT_PNL_AUTO_20260730_155601.md
vide_froid_binance,2026-07-30T06:22:26Z,2026-07-30T10:22:24Z,VALIDATION_VOIE_A_PACK_A_P2,0.8096,POSITIF,BETA=+1.6224 ALPHA=-0.8128 TOTAL=+0.8096,RAPPORT_PNL_AUTO_20260730_155601.md
vide_froid_binance,2026-07-30T06:22:26Z,2026-07-30T10:22:24Z,VALIDATION_VOIE_A_PACK_A_P2,0.8096,POSITIF,BETA=+1.6224 ALPHA=-0.8128 TOTAL=+0.8096,RAPPORT_PNL_AUTO_20260730_155607.md
vide_froid_binance,2026-07-30T15:58:26Z,2026-07-30T17:58:18Z,NUAGE_SETUP_AVANT,-1.2587,NEGATIF,BETA=+0.2552 ALPHA=-1.5139 TOTAL=-1.2587,RAPPORT_PNL_AUTO_20260730_183255.md
config_active,2026-07-30T15:58:26Z,2026-07-30T17:58:18Z,NUAGE_SETUP_AVANT,-1.2587,NEGATIF,BETA=+0.2552 ALPHA=-1.5139 TOTAL=-1.2587,RAPPORT_PNL_AUTO_20260730_183256.md
vide_froid_binance,2026-07-30T15:58:26Z,2026-07-30T17:58:18Z,NUAGE_SETUP_AVANT,-1.2587,NEGATIF,BETA=+0.2552 ALPHA=-1.5139 TOTAL=-1.2587,RAPPORT_PNL_AUTO_20260730_183340.md
vide_froid_binance,2026-07-30T15:58:26Z,2026-07-30T17:58:18Z,NUAGE_SETUP_AVANT,-1.2587,NEGATIF,BETA=+0.2552 ALPHA=-1.5139 TOTAL=-1.2587,RAPPORT_PNL_AUTO_20260730_184156.md
vide_froid_binance,2026-07-30T15:58:26Z,2026-07-30T17:58:18Z,NUAGE_SETUP_AVANT,-1.2587,NEGATIF,BETA=+0.2552 ALPHA=-1.5139 TOTAL=-1.2587,RAPPORT_PNL_AUTO_20260730_184156.md
vide_froid_binance,2026-07-30T15:58:26Z,2026-07-30T17:58:18Z,NUAGE_SETUP_AVANT,-1.2587,NEGATIF,BETA=+0.2552 ALPHA=-1.5139 TOTAL=-1.2587,RAPPORT_PNL_AUTO_20260730_184202.md
vide_froid_binance,2026-07-30T18:42:20Z,2026-07-30T19:38:57Z,NUAGE_SETUP_AVANT,-0.6237,NEGATIF,BETA=-0.5433 ALPHA=-0.0804 TOTAL=-0.6237,RAPPORT_PNL_AUTO_20260730_203313.md
vide_froid_binance,2026-07-30T18:42:20Z,2026-07-30T19:38:57Z,NUAGE_SETUP_AVANT,-0.6237,NEGATIF,BETA=-0.5433 ALPHA=-0.0804 TOTAL=-0.6237,RAPPORT_PNL_AUTO_20260730_204257.md
vide_froid_binance,2026-07-30T18:42:20Z,2026-07-30T19:38:57Z,NUAGE_SETUP_AVANT,-0.6237,NEGATIF,BETA=-0.5433 ALPHA=-0.0804 TOTAL=-0.6237,RAPPORT_PNL_AUTO_20260730_204258.md
vide_froid_binance,2026-07-30T18:42:20Z,2026-07-30T19:38:57Z,NUAGE_SETUP_AVANT,-0.6237,NEGATIF,BETA=-0.5433 ALPHA=-0.0804 TOTAL=-0.6237,RAPPORT_PNL_AUTO_20260730_204303.md
vide_froid_binance,2026-07-30T20:43:39Z,2026-07-30T21:36:35Z,NUAGE_SETUP_AVANT,-1.2814,NEGATIF,BETA=+1.4740 ALPHA=-2.7554 TOTAL=-1.2814,RAPPORT_PNL_AUTO_20260730_221140.md
vide_froid_binance,2026-07-30T20:43:39Z,2026-07-30T21:36:35Z,NUAGE_SETUP_AVANT,-1.2814,NEGATIF,BETA=+1.4740 ALPHA=-2.7554 TOTAL=-1.2814,RAPPORT_PNL_AUTO_20260730_221140.md
vide_froid_binance,2026-07-30T20:43:39Z,2026-07-30T21:36:35Z,NUAGE_SETUP_AVANT,-1.2814,NEGATIF,BETA=+1.4740 ALPHA=-2.7554 TOTAL=-1.2814,RAPPORT_PNL_AUTO_20260730_221145.md
vide_froid_binance,2026-07-30T22:13:30Z,2026-07-31T00:13:26Z,NUAGE_SETUP_AVANT,2.1944,POSITIF,BETA=+2.1944 ALPHA=+0.0000 TOTAL=+2.1944,RAPPORT_PNL_AUTO_20260731_043413.md
vide_froid_binance,2026-07-30T22:13:30Z,2026-07-31T00:13:26Z,NUAGE_SETUP_AVANT,2.1944,POSITIF,BETA=+2.1944 ALPHA=+0.0000 TOTAL=+2.1944,RAPPORT_PNL_AUTO_20260731_043413.md
vide_froid_binance,2026-07-30T22:13:30Z,2026-07-31T00:13:26Z,NUAGE_SETUP_AVANT,2.1944,POSITIF,BETA=+2.1944 ALPHA=+0.0000 TOTAL=+2.1944,RAPPORT_PNL_AUTO_20260731_043419.md
vide_froid_binance,2026-07-31T05:16:04Z,2026-07-31T09:15:56Z,NUAGE_PROD_4H,-1.7995,NEGATIF,BETA=+1.5350 ALPHA=-3.3345 TOTAL=-1.7995,RAPPORT_PNL_AUTO_20260731_093709.md
vide_froid_binance,2026-07-31T05:16:04Z,2026-07-31T09:15:56Z,NUAGE_PROD_4H,-1.7995,NEGATIF,BETA=+1.5350 ALPHA=-3.3345 TOTAL=-1.7995,RAPPORT_PNL_AUTO_20260731_093710.md
vide_froid_binance,2026-07-31T05:16:04Z,2026-07-31T09:15:56Z,NUAGE_PROD_4H,-1.7995,NEGATIF,BETA=+1.5350 ALPHA=-3.3345 TOTAL=-1.7995,RAPPORT_PNL_AUTO_20260731_093718.md
vide_froid_binance,2026-07-31T09:38:15Z,2026-07-31T13:01:26Z,NUAGE_PROD_4H,8.6662,POSITIF,BETA=+0.6630 ALPHA=+8.0032 TOTAL=+8.6662,RAPPORT_PNL_AUTO_20260731_135935.md
