ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,delay_s,price
2026-08-16T21:26:49Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,59.23,0.0,1018.97,216.47,True,False,0.0,1.031,0.005244
2026-08-16T21:26:52Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.34,0.0,1276.24,1281.26,True,False,0.0,0.99,0.09534
2026-08-16T21:26:54Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.28,0.0,2445.5,3548.33,True,False,0.0,0.987,0.02418
2026-08-16T21:26:56Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.7,0.0,3358.38,876.93,True,False,0.0,1.094,0.001442
2026-08-16T21:27:00Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,91.8,26.14,849.64,843.22,True,False,0.1313,0.968,0.00768
2026-08-16T21:27:56Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,59.23,0.0,1019.17,216.47,True,False,0.0,0.939,0.005241
2026-08-16T21:27:59Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,5.24,-1.05,1276.24,1281.26,True,False,0.0052,1.136,0.09535
2026-08-16T21:28:02Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.28,0.0,2445.5,3746.98,True,False,0.0,1.025,0.02416
2026-08-16T21:28:04Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,34.78,0.0,3358.4,1095.93,True,False,0.0,1.009,0.001439
2026-08-16T21:28:07Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,78.95,0.0,849.59,843.22,True,False,0.0,0.984,0.00757
2026-08-16T21:28:39Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,59.59,0.0,1008.44,216.47,True,False,0.0,1.966,0.005218
2026-08-16T21:28:42Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,5.24,0.0,1276.23,1281.26,True,False,0.0,0.997,0.09535
