ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,delay_s,price
2026-08-16T21:01:28Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.35,0.0,1275.47,1436.9,True,False,1.967,0.09531
2026-08-16T21:01:30Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.11,0.0,3539.58,4966.18,True,False,1.022,0.02434
2026-08-16T21:01:33Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,34.52,-6.89,3122.75,1017.53,True,False,0.963,0.001448
2026-08-16T21:01:36Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,131.58,0.17,893.77,843.22,True,False,0.989,0.00756
2026-08-16T21:03:38Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1011.42,503.84,True,False,0.98,0.005158
2026-08-16T21:03:40Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,4.19,0.0,1816.14,1373.6,True,False,1.017,0.09537
2026-08-16T21:03:42Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.11,0.0,3745.7,4717.49,True,False,0.975,0.02434
2026-08-16T21:03:44Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,34.52,0.0,2662.55,592.49,True,False,0.942,0.001449
2026-08-16T21:03:47Z,EDELUSDT,COOLING,SELL,5.44,0.0,5.44,78.43,0.0,1008.71,843.22,True,False,2.095,0.00764
2026-08-16T21:05:46Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1010.83,503.84,True,False,2.0,0.00516
2026-08-16T21:05:49Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,6.3,0.0,1275.47,1280.5,True,False,2.098,0.09528
2026-08-16T21:05:51Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,16.51,0.0,3751.0,4524.03,True,False,1.104,0.02425
2026-08-16T21:05:54Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,34.52,0.0,2661.13,1017.53,True,False,1.055,0.001448
2026-08-16T21:05:58Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,52.36,0.0,850.23,843.22,True,False,1.948,0.00761
2026-08-16T21:07:51Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1009.14,503.84,True,False,1.004,0.005153
2026-08-16T21:07:53Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.4,0.0,1353.19,1718.91,True,False,1.028,0.09527
2026-08-16T21:07:55Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.25,0.0,3751.0,3962.35,True,False,0.994,0.02424
2026-08-16T21:07:59Z,TELUSDT,COOLING,NONE,-4.17,0.0,0.0,34.52,0.0,2449.46,475.64,True,False,2.052,0.00145
2026-08-16T21:08:02Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,52.56,0.0,893.78,843.22,True,False,2.017,0.00758
2026-08-16T21:09:57Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1016.65,503.84,True,False,1.125,0.005156
2026-08-16T21:10:01Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.4,0.0,1576.18,1435.82,True,False,1.988,0.09527
2026-08-16T21:10:04Z,BIOUSDT,COOLING,NONE,-7.07,-0.63,-0.63,8.27,-0.0,3770.44,3531.08,True,False,1.974,0.02417
2026-08-16T21:10:06Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,34.52,0.0,3118.44,573.11,True,False,1.954,0.001448
2026-08-16T21:10:09Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,39.34,0.0,850.27,843.22,True,False,0.978,0.00761
2026-08-16T21:12:11Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1016.32,503.84,True,False,0.936,0.005158
2026-08-16T21:12:13Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.41,0.0,1274.22,1278.49,True,False,1.945,0.09519
2026-08-16T21:12:15Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.13,0.0,3429.97,4260.95,True,False,0.934,0.02418
2026-08-16T21:12:19Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,34.52,0.0,3118.44,573.11,True,False,0.999,0.001448
2026-08-16T21:12:22Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,39.29,0.0,893.86,843.22,True,False,0.988,0.00762
2026-08-16T21:14:23Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1019.72,503.84,True,False,1.142,0.00516
2026-08-16T21:14:26Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.41,0.0,1273.4,1384.1,True,False,1.999,0.09512
2026-08-16T21:14:28Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.27,0.0,4260.52,3584.5,True,False,0.93,0.02417
2026-08-16T21:14:31Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,34.52,0.0,2655.57,573.11,True,False,0.968,0.00145
2026-08-16T21:14:33Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,65.75,0.0,850.31,843.22,True,False,0.965,0.00763
