ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,msg
2026-02-25T23:56:16Z,13,BUY,FILLED,6636067,0.00017000,11.55633650,,ok
2026-02-25T23:56:17Z,13,SELL,FILLED,6636070,0.00017000,11.55633480,-0.00000170,ok
2026-02-25T23:56:28Z,14,BUY,FILLED,6636100,0.00017000,11.55633650,,ok
2026-02-25T23:56:29Z,14,SELL,FILLED,6636108,0.00017000,11.55633480,-0.00000170,ok
2026-02-25T23:56:40Z,15,BUY,FILLED,6636177,0.00017000,11.55290250,,ok
2026-02-25T23:56:41Z,15,SELL,FILLED,6636184,0.00017000,11.55290080,-0.00000170,ok
2026-02-25T23:56:52Z,16,BUY,FILLED,6636235,0.00017000,11.55290080,,ok
2026-02-25T23:56:53Z,16,SELL,FILLED,6636237,0.00017000,11.55289910,-0.00000170,ok
2026-02-25T23:57:04Z,17,BUY,FILLED,6636262,0.00017000,11.55290080,,ok
2026-02-25T23:57:05Z,17,SELL,FILLED,6636265,0.00017000,11.55289910,-0.00000170,ok
2026-02-25T23:57:15Z,18,BUY,FILLED,6636348,0.00017000,11.55236020,,ok
2026-02-25T23:57:16Z,18,SELL,FILLED,6636350,0.00017000,11.55235850,-0.00000170,ok
2026-02-25T23:57:27Z,19,BUY,FILLED,6636429,0.00017000,11.55393950,,ok
2026-02-25T23:57:28Z,19,SELL,FILLED,6636432,0.00017000,11.55393780,-0.00000170,ok
2026-02-25T23:57:40Z,20,BUY,FILLED,6636456,0.00017000,11.55393950,,ok
2026-02-25T23:57:41Z,20,SELL,FILLED,6636468,0.00017000,11.55393780,-0.00000170,ok
