ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,msg
2026-02-25T23:45:43Z,18,SELL,FILLED,6632152,0.00017000,11.52463830,-0.00000170,ok
2026-02-25T23:45:52Z,19,BUY,FILLED,6632191,0.00017000,11.52464000,,ok
2026-02-25T23:45:53Z,19,SELL,FILLED,6632197,0.00017000,11.52463830,-0.00000170,ok
2026-02-25T23:46:02Z,20,BUY,FILLED,6632288,0.00017000,11.52030670,,ok
2026-02-25T23:46:03Z,20,SELL,FILLED,6632293,0.00017000,11.52030500,-0.00000170,ok
2026-02-25T23:46:12Z,21,BUY,FILLED,6632337,0.00017000,11.52030670,,ok
2026-02-25T23:46:13Z,21,SELL,FILLED,6632343,0.00017000,11.52030500,-0.00000170,ok
2026-02-25T23:46:22Z,22,BUY,FILLED,6632428,0.00017000,11.51462870,,ok
2026-02-25T23:46:23Z,22,SELL,FILLED,6632432,0.00017000,11.51462700,-0.00000170,ok
2026-02-25T23:46:31Z,23,BUY,FILLED,6632436,0.00017000,11.51462870,,ok
2026-02-25T23:46:32Z,23,SELL,FILLED,6632438,0.00017000,11.51462700,-0.00000170,ok
2026-02-25T23:46:41Z,24,BUY,FILLED,6632541,0.00017000,11.52030500,,ok
2026-02-25T23:46:42Z,24,SELL,FILLED,6632542,0.00017000,11.52030330,-0.00000170,ok
2026-02-25T23:46:51Z,25,BUY,FILLED,6632610,0.00017000,11.52096970,,ok
2026-02-25T23:46:53Z,25,SELL,FILLED,6632614,0.00017000,11.52096800,-0.00000170,ok
2026-02-25T23:47:01Z,26,BUY,FILLED,6632656,0.00017000,11.52096970,,ok
2026-02-25T23:47:03Z,26,SELL,FILLED,6632657,0.00017000,11.52096800,-0.00000170,ok
2026-02-25T23:47:12Z,27,BUY,FILLED,6632734,0.00017000,11.51855910,,ok
2026-02-25T23:47:13Z,27,SELL,FILLED,6632735,0.00017000,11.51855740,-0.00000170,ok
2026-02-25T23:47:22Z,28,BUY,FILLED,6632749,0.00017000,11.51855910,,ok
2026-02-25T23:47:22Z,28,SELL,FILLED,6632751,0.00017000,11.51855740,-0.00000170,ok
2026-02-25T23:47:31Z,29,BUY,FILLED,6632829,0.00017000,11.52090000,,ok
2026-02-25T23:47:32Z,29,SELL,FILLED,6632831,0.00017000,11.52089830,-0.00000170,ok
2026-02-25T23:47:41Z,30,BUY,FILLED,6632853,0.00017000,11.52090000,,ok
2026-02-25T23:47:42Z,30,SELL,FILLED,6632856,0.00017000,11.52089830,-0.00000170,ok
2026-02-26T00:05:56Z,1,BUY,FILLED,6639548,0.00017000,11.52683980,,ok
2026-02-26T00:05:57Z,1,SELL,FILLED,6639594,0.00017000,11.52939830,0.00255850,ok
2026-02-26T00:06:08Z,2,BUY,FILLED,6639638,0.00017000,11.52940000,,ok
2026-02-26T00:06:09Z,2,SELL,FILLED,6639644,0.00017000,11.52939830,-0.00000170,ok
2026-02-26T00:06:20Z,3,BUY,FILLED,6639736,0.00017000,11.53081270,,ok
2026-02-26T00:06:21Z,3,SELL,FILLED,6639742,0.00017000,11.53081100,-0.00000170,ok
2026-02-26T00:06:32Z,4,BUY,FILLED,6639822,0.00017000,11.53702450,,ok
2026-02-26T00:06:33Z,4,SELL,FILLED,6639830,0.00017000,11.53702280,-0.00000170,ok
2026-02-26T00:06:44Z,5,BUY,FILLED,6639869,0.00017000,11.53702450,,ok
2026-02-26T00:06:45Z,5,SELL,FILLED,6639873,0.00017000,11.53702280,-0.00000170,ok
2026-02-26T00:07:55Z,1,BUY,FILLED,6640337,0.00017000,11.55653200,,ok
2026-02-26T00:07:56Z,1,SELL,FILLED,6640343,0.00017000,11.55653030,-0.00000170,ok
2026-02-26T00:08:07Z,2,BUY,FILLED,6640421,0.00017000,11.55942370,,ok
2026-02-26T00:08:08Z,2,SELL,FILLED,6640425,0.00017000,11.55942200,-0.00000170,ok
2026-02-26T00:08:19Z,3,BUY,FILLED,6640511,0.00017000,11.55450220,,ok
2026-02-26T00:08:20Z,3,SELL,FILLED,6640528,0.00017000,11.55450050,-0.00000170,ok
2026-02-26T00:08:31Z,4,BUY,FILLED,6640592,0.00017000,11.55450220,,ok
2026-02-26T00:08:32Z,4,SELL,FILLED,6640612,0.00017000,11.55450050,-0.00000170,ok
2026-02-26T00:08:43Z,5,BUY,FILLED,6640714,0.00017000,11.54640680,,ok
2026-02-26T00:08:44Z,5,SELL,FILLED,6640717,0.00017000,11.54640510,-0.00000170,ok
2026-02-26T00:08:54Z,6,BUY,FILLED,6640802,0.00017000,11.55836290,,ok
2026-02-26T00:08:55Z,6,SELL,FILLED,6640808,0.00017000,11.55836120,-0.00000170,ok
2026-02-26T00:09:08Z,7,BUY,FILLED,6640860,0.00017000,11.55836290,,ok
2026-02-26T00:09:08Z,7,SELL,FILLED,6640863,0.00017000,11.55836120,-0.00000170,ok
2026-02-26T00:09:19Z,8,BUY,FILLED,6640939,0.00017000,11.55670370,,ok
2026-02-26T00:09:21Z,8,SELL,FILLED,6640943,0.00017000,11.55670200,-0.00000170,ok
2026-02-26T00:09:32Z,9,BUY,FILLED,6641011,0.00017000,11.55507850,,ok
2026-02-26T00:09:32Z,9,SELL,FILLED,6641015,0.00017000,11.55507680,-0.00000170,ok
2026-02-26T00:09:43Z,10,BUY,FILLED,6641045,0.00017000,11.55507850,,ok
2026-02-26T00:09:44Z,10,SELL,FILLED,6641049,0.00017000,11.55507680,-0.00000170,ok
2026-02-26T00:09:55Z,11,BUY,FILLED,6641203,0.00017000,11.56208930,,ok
2026-02-26T00:09:56Z,11,SELL,FILLED,6641213,0.00017000,11.56169830,-0.00039100,ok
2026-02-26T00:10:07Z,12,BUY,FILLED,6641339,0.00017000,11.57461490,,ok
2026-02-26T00:10:08Z,12,SELL,FILLED,6641341,0.00017000,11.57461320,-0.00000170,ok
2026-02-26T00:10:19Z,13,BUY,FILLED,6641377,0.00017000,11.57461490,,ok
2026-02-26T00:10:20Z,13,SELL,FILLED,6641380,0.00017000,11.57461320,-0.00000170,ok
2026-02-26T00:10:31Z,14,BUY,FILLED,6641494,0.00017000,11.56514760,,ok
2026-02-26T00:10:32Z,14,SELL,FILLED,6641498,0.00017000,11.56514590,-0.00000170,ok
2026-02-26T00:10:43Z,15,BUY,FILLED,6641570,0.00017000,11.56509320,,ok
2026-02-26T00:10:44Z,15,SELL,FILLED,6641573,0.00017000,11.56509150,-0.00000170,ok
2026-02-26T00:10:55Z,16,BUY,FILLED,6641594,0.00017000,11.56509320,,ok
2026-02-26T00:10:56Z,16,SELL,FILLED,6641598,0.00017000,11.56509150,-0.00000170,ok
2026-02-26T00:11:07Z,17,BUY,FILLED,6641669,0.00017000,11.56486710,,ok
2026-02-26T00:11:08Z,17,SELL,FILLED,6641674,0.00017000,11.56486540,-0.00000170,ok
2026-02-26T00:11:19Z,18,BUY,FILLED,6641779,0.00017000,11.56349690,,ok
2026-02-26T00:11:20Z,18,SELL,FILLED,6641782,0.00017000,11.56349520,-0.00000170,ok
2026-02-26T00:11:31Z,19,BUY,FILLED,6641800,0.00017000,11.56349690,,ok
2026-02-26T00:11:32Z,19,SELL,FILLED,6641804,0.00017000,11.56349520,-0.00000170,ok
2026-02-26T00:11:42Z,20,BUY,FILLED,6641872,0.00017000,11.56444720,,ok
2026-02-26T00:11:43Z,20,SELL,FILLED,6641879,0.00017000,11.56444550,-0.00000170,ok
