ts,pair,event,regime,price,entry,qty,pnl_usdt,pnl_total,cadence,reason
2026-07-27T14:59:19Z,CHIPUSDT,SKIP,COOLING,0.02756000,0.02756000,,0.0000,-1.2202,5.47,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T14:59:42Z,QAITUSDT,SKIP,IMPULSE,0.00634900,0.00634900,,0.0000,-1.2202,7.72,SKIP_COOLDOWN:stop@2026-07-27T13:36:47Z count=1 left≈37m
2026-07-27T14:59:49Z,CHIPUSDT,SKIP,COOLING,0.02758000,0.02758000,,0.0000,-1.2202,5.47,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:00:12Z,QAITUSDT,SKIP,IMPULSE,0.00634900,0.00634900,,0.0000,-1.2202,7.72,SKIP_COOLDOWN:stop@2026-07-27T13:36:47Z count=1 left≈37m
2026-07-27T15:00:16Z,CHIPUSDT,SKIP,COOLING,0.02758000,0.02758000,,0.0000,-1.2202,5.47,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:01:13Z,CHIPUSDT,SKIP,COOLING,0.02760000,0.02760000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:01:42Z,CHIPUSDT,SKIP,COOLING,0.02759000,0.02759000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:02:10Z,CHIPUSDT,SKIP,COOLING,0.02751000,0.02751000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:03:05Z,CHIPUSDT,SKIP,COOLING,0.02752000,0.02752000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:03:32Z,CHIPUSDT,SKIP,COOLING,0.02751000,0.02751000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:03:59Z,CHIPUSDT,SKIP,COOLING,0.02756000,0.02756000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:04:53Z,CHIPUSDT,SKIP,COOLING,0.02758000,0.02758000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:05:23Z,CHIPUSDT,SKIP,COOLING,0.02758000,0.02758000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:05:51Z,CHIPUSDT,SKIP,COOLING,0.02758000,0.02758000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:06:40Z,CHIPUSDT,SKIP,COOLING,0.02753000,0.02753000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:07:06Z,CHIPUSDT,SKIP,COOLING,0.02750000,0.02750000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:07:34Z,CHIPUSDT,SKIP,COOLING,0.02750000,0.02750000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:08:24Z,CHIPUSDT,SKIP,COOLING,0.02750000,0.02750000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:08:57Z,CHIPUSDT,SKIP,COOLING,0.02746000,0.02746000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:09:27Z,CHIPUSDT,SKIP,COOLING,0.02746000,0.02746000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:10:19Z,CHIPUSDT,SKIP,COOLING,0.02750000,0.02750000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:10:49Z,CHIPUSDT,SKIP,COOLING,0.02750000,0.02750000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T15:11:17Z,CHIPUSDT,SKIP,COOLING,0.02750000,0.02750000,,0.0000,-1.2202,6.04,SKIP_VEILLE_RED:WATCH_PULLBACK
